Показатель,value_float
"Производство удобрений, млн т",11.0
"Продажа удобрений, млн т",11.4
"Выручка, млрд руб",440.3
"Операционная прибыль, млрд руб",150.8
"EBITDA, млрд руб",183.0
"Чистая прибыль, млрд руб",104.1
"Чистая прибыль н/с, млрд руб",86.1
"Опер.денежный поток, млрд руб",134.3
"CAPEX, млрд руб",64.2
"FCF, млрд руб",70.2
"Див.выплата, млрд руб",110.0
"Дивиденд, руб/акцию",849.0
"Див доход, ао, %",12.9
"Дивиденды/прибыль, %",106.0
"Опер. расходы, млрд руб",39.9
"Себестоимость, млрд руб",251.6
"Амортизация, млрд руб",32.3
"Расх на персонал, млрд руб",47.4
"Процентные расходы, млрд руб",7.18
"Активы, млрд руб",525.6
"Чистые активы, млрд руб",151.5
"Долг, млрд руб",248.1
"Наличность, млрд руб",29.2
"Чистый долг, млрд руб",218.9
"Цена акции ао, руб",6590.0
"Число акций ао, млн",129.5
"Капитализация, млрд руб",853.4
"EV, млрд руб",1072.0
"Баланс стоимость, млрд руб",148.7
"EPS, руб",803.9
"FCF/акцию, руб",542.2
"BV/акцию, руб",1148.0
"Рентаб EBITDA, %",41.6
"Чистая рентаб, %",23.6
"Доходность FCF, %",8.2
"ROE, %",68.7
"ROA, %",19.8
P/E,8.2
P/FCF,12.2
P/S,1.94
P/BV,5.74
EV/EBITDA,5.86
Долг/EBITDA,1.2
"Персонал, чел",21839.0
"Произв.труда, млн руб/чел/год",20.2
"Расходы/чел/год, тыс.р",2172.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",15.0
IR рейтинг,3.1
Качество фин.отчетности,4.0
Презентации для инвесторов,1.0
Присутствие на смартлабе,1.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,5.0
Обратная связь,1.0
