Показатель,value_float
"BV/акцию, руб",1248.0
"CAPEX, млрд руб",82.5
"CAPEX/Выручка, %",16.0
"EBITDA, млрд руб",177.0
"EPS, руб",775.3
"EV, млрд руб",1145.0
EV/EBITDA,6.47
"FCF, млрд руб",29.0
"FCF/акцию, руб",223.9
P/BV,5.1
P/E,8.2
P/FCF,28.4
P/S,1.62
"R&D/CAPEX, %",0.0
"ROA, %",16.9
"ROE, %",61.0
"Активы, млрд руб",592.5
"Амортизация, млрд руб",36.6
"Баланс стоимость, млрд руб",161.6
"Выручка, млрд руб",507.7
"Див доход, ао, %",6.7
"Дивиденды/прибыль, %",55.0
"Долг, млрд руб",331.6
Долг/EBITDA,1.81
"Доходность FCF, %",3.5
"Капитализация, млрд руб",823.7
"Наличность, млрд руб",10.4
"Опер. расходы, млрд руб",41.6
"Опер.денежный поток, млрд руб",92.8
"Операционная прибыль, млрд руб",140.5
"Рентаб EBITDA, %",34.9
"Цена акции ао, руб",6361.0
"Число акций ао, млн",129.5
"Чистая прибыль, млрд руб",100.4
"Чистая рентаб, %",19.8
"Чистые активы, млрд руб",164.6
"Чистый долг, млрд руб",321.2
