Показатель,value_float
"Добыча золота, тыс тр унц",2902.0
"Продажи золота, тыс тр унц",2908.0
"Ср.цена продажи золота, $/унц",1861.0
"Себестоимость золота, $/унц",389.0
"Выручка, млрд руб",469.6
"Операционная прибыль, млрд руб",275.5
"EBITDA, млрд руб",336.4
"Чистая прибыль, млрд руб",151.4
"Опер.денежный поток, млрд руб",253.9
"CAPEX, млрд руб",102.7
"FCF, млрд руб",99.4
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",46.3
"Себестоимость, млрд руб",147.9
"Амортизация, млрд руб",41.4
"Расх на персонал, млрд руб",51.9
"Процентные расходы, млрд руб",28.0
"Активы, млрд руб",832.8
"Чистые активы, млрд руб",-56.8
"Долг, млрд руб",776.1
"Наличность, млрд руб",153.4
"Чистый долг, млрд руб",622.7
"Цена акции ао, руб",10609.0
"Число акций ао, млн",133.6
"Капитализация, млрд руб",1417.0
"EV, млрд руб",2040.0
"Баланс стоимость, млрд руб",-67.8
"EPS, руб",1134.0
"FCF/акцию, руб",744.2
"BV/акцию, руб",-507.6
"Рентаб EBITDA, %",71.6
"Чистая рентаб, %",32.2
"Доходность FCF, %",7.0
"ROE, %",-266.5
"ROA, %",18.2
P/E,9.36
P/FCF,14.3
P/S,3.02
P/BV,-20.9
EV/EBITDA,6.06
Долг/EBITDA,1.85
"Персонал, чел",20686.0
"Произв.труда, млн руб/чел/год",22.7
"Расходы/чел/год, тыс.р",2509.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",22.0
IR рейтинг,4.1
Качество фин.отчетности,5.0
Презентации для инвесторов,5.0
Присутствие на смартлабе,1.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,3.0
Обратная связь,5.0
