Показатель,value_float
"BV/акцию, руб",86.8
"CAPEX, млрд руб",137.8
"CAPEX/Выручка, %",20.0
"EBITDA, млрд руб",538.7
"EPS, руб",224.9
"EV, млрд руб",3197.0
EV/EBITDA,5.93
"FCF, млрд руб",116.0
"FCF/акцию, руб",85.3
P/BV,21.8
P/E,8.41
P/FCF,22.2
P/S,3.7
"R&D/CAPEX, %",0.0
"ROA, %",26.6
"ROE, %",241.1
"Активы, млрд руб",1152.0
"Амортизация, млрд руб",58.5
"Баланс стоимость, млрд руб",118.0
"Выручка, млрд руб",694.8
"Див доход, ао, %",10.7
"Дивиденды/прибыль, %",90.0
"Долг, млрд руб",879.8
Долг/EBITDA,1.16
"Доходность FCF, %",4.5
"Капитализация, млрд руб",2572.0
"Наличность, млрд руб",255.1
"Опер. расходы, млрд руб",76.5
"Опер.денежный поток, млрд руб",323.7
"Операционная прибыль, млрд руб",451.0
"Рентаб EBITDA, %",77.5
"Цена акции ао, руб",1890.0
"Число акций ао, млн",1361.0
"Чистая прибыль, млрд руб",306.0
"Чистая рентаб, %",44.0
"Чистые активы, млрд руб",126.9
"Чистый долг, млрд руб",624.7
