date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,1062.8,1067.0,1057.4,1067.0,6100,,1067.0,,,,,,,,0.0,6100,,,,,0.0,,,,,,,,,
2024-01-03,1070.0,1091.8,1069.6,1083.0,537210,,1068.5238095238096,,,,,,,,0.0,543310,,,,,0.0,,,,,,,,,
2024-01-04,1090.4,1090.4,1076.6,1086.2,248700,,1070.2072562358278,,,,,,,,0.0,792010,,,,,0.0,,,,,,,,,
2024-01-05,1088.0,1088.0,1080.0,1080.0,162000,,1071.1398984990824,,,,,,,,0.0,630010,,,,,0.0,,,,,,,,,
2024-01-06,1084.4,1086.2,1080.0,1085.0,5700,,1072.4599081658364,,,,,,,,0.0,635710,,,,,0.0,,,,,,,,,
2024-01-07,1086.4,1086.4,1080.8,1086.4,6690,,1073.7875359595662,,,,,,,,0.0,642400,,,,,0.0,,,,,,,,,
2024-01-08,1085.6,1091.6,1074.0,1090.0,488000,,1075.3315801538931,,,,,,,,0.0,1130400,,,,,0.0,,,,,,,,,
2024-01-09,1092.0,1101.0,1087.0,1089.8,557280,,1076.7095249011413,,,,,,,,0.0,573120,,,,,0.0,,,,,,,,,
2024-01-10,1090.0,1090.0,1081.8,1081.0,319230,,1077.118141577223,,,,,,,,0.0,253890,,,,,0.0,,,,,1079.2,,,,
2024-01-11,1081.2,1087.8,1070.0,1085.2,992100,,1077.8878423793922,,,,,,,,0.0,1245990,,,,,0.0,,,,,1085.3,,1085.2,,
2024-01-12,1087.8,1119.6,1087.8,1100.0,1382230,,1079.9937621527833,,,,,,,,0.0,2628220,,,,,0.0,,,,,1094.8,,1087.3139932783838,3.0927835051546393,
2024-01-13,1095.6,1106.4,1095.8,1101.2,18810,,1082.0134038525182,,,,,,,,0.0,2647030,,,,,0.0,,,,,1094.8,,1088.4819097968293,1.6805170821791362,
2024-01-14,1105.6,1105.6,1101.6,1104.0,6000,,1084.1073653903736,,,,,,,,0.0,2653030,,,,,0.0,,,,,1094.8,,1089.7591136955916,1.6387405634321446,
2024-01-15,1102.2,1109.2,1093.6,1105.0,604050,,1086.0971401150998,1093.5314285714287,78.31822461137357,76.5273311897107,,,,,13.614285714285725,3257080,,,,,0.0,,,,-23.47266881028931,1094.8,,1092.3789639431568,2.314814814814815,
2024-01-16,1105.0,1106.2,1097.0,1099.6,357920,,1087.3831267708047,1094.965714285714,68.84053670737873,60.0,,,,,13.298979591836746,2899160,,,,,0.0,1.1787592008412207,0.7917981072555212,,-40.0,1094.8,,1092.8940640964593,1.3456221198156597,
2024-01-17,1099.6,1104.0,1096.0,1096.6,337640,,1088.2609242212043,1095.6895238095237,64.19283443058015,53.629032258064434,63.38545448259171,,,,12.920481049562692,2561520,,,,,0.0,1.1349480968858148,0.9123414071510969,,-46.370967741935566,1094.8,,1093.0437929526813,0.9388807069219272,
2024-01-18,1096.6,1113.0,1096.6,1103.0,588910,,1089.6646457239467,1097.1371428571429,69.00105487307832,66.53225806451626,60.05376344086022,,,,13.169018117451078,3150430,,,,,0.0,1.0965909090909103,0.8545454545454565,,-33.46774193548375,1094.8,,1093.5626325890696,1.1926605504587156,
2024-01-19,1101.6,1113.4,1098.8,1100.4,527230,,1090.6870604169042,1098.078095238095,65.1723169124607,61.29032258064546,60.48387096774204,,,,13.271231109061725,2623200,,,,,0.0,1.0865279299014248,0.8444687842278215,,-38.70967741935454,1094.8,,1093.813802456931,0.9726555331253566,
2024-01-20,1104.4,1104.8,1098.4,1100.6,8130,,1091.6311499010085,1098.8514285714286,65.33167499823215,61.693548387096705,63.17204301075281,,,,12.780428886985877,2631330,,,,,0.0,1.0842450765864349,0.8818380743982513,,-38.306451612903295,1103.6999999999998,,1094.6366854517369,1.8131359851988815,
2024-01-21,1098.6,1103.4,1099.0,1103.2,6120,1092.3600000000001,1092.7329451485316,1099.8228571428574,67.41878270776547,66.93548387096796,63.306451612903366,1112.7021139511114,1092.3600000000001,1072.0178860488888,12.18182682362975,2637450,-0.08006426428091913,,,,0.0,1.083700440528636,0.889867841409693,64.68096550796821,-33.06451612903204,1103.5,,1095.6004816031834,1.6586804275709546,
2024-01-22,1105.0,1108.2,1099.6,1106.4,381660,1094.33,1094.0345694201,1101.0609523809524,69.82646670108227,73.38709677419386,67.3387096774195,1111.9105688190116,1094.33,1076.7494311809883,11.92598205051335,3019110,-0.047437272712810126,,,,0.0,1.1309385863267676,0.8864426419466983,78.40192249924776,-26.612903225806132,1103.5,,1096.0333787309953,0.5818181818181901,
