Показатель,value_float
"Выручка, млрд руб",22.2
"Операционная прибыль, млрд руб",9.82
"EBITDA, млрд руб",10.8
"Чистая прибыль, млрд руб",9.7
"EBITDAC, млрд руб",8.92
"NIC, млрд руб",8.74
"Опер.денежный поток, млрд руб",5.46
"CAPEX, млрд руб",3.56
"FCF, млрд руб",1.72
"Див.выплата, млрд руб",8.49
"Дивиденд, руб/акцию",129.37
"Див доход, ао, %",6.5
"Дивиденды/прибыль, %",88.0
"Опер. расходы, млрд руб",10.9
"Себестоимость, млрд руб",1.46
"Амортизация, млрд руб",1.0
"НИОКР, млрд руб",2.31
"Расх на персонал, млрд руб",7.81
"Процентные расходы, млрд руб",0.131
"Активы, млрд руб",28.4
"Чистые активы, млрд руб",13.2
"Долг, млрд руб",5.68
"Наличность, млрд руб",1.68
"Чистый долг, млрд руб",4.0
"Цена акции ао, руб",2004.0
"Число акций ао, млн",66.0
"Free Float, %",21.0
"Капитализация, млрд руб",132.3
"EV, млрд руб",136.3
"Баланс стоимость, млрд руб",5.66
"EPS, руб",146.9
"FCF/акцию, руб",26.1
"BV/акцию, руб",85.8
"Рентаб EBITDA, %",48.8
"Чистая рентаб, %",43.7
"Доходность FCF, %",1.3
"ROE, %",73.5
"ROA, %",34.2
P/E,13.6
P/FCF,76.9
P/S,5.96
P/BV,23.4
EV/EBITDA,12.6
Долг/EBITDA,0.37
"Персонал, чел",2285.0
"Произв.труда, млн руб/чел/год",9.72
"Расходы/чел/год, тыс.р",3418.0
"R&D/CAPEX, %",64.89
"CAPEX/Выручка, %",16.0
