Показатель,value_float
"BV/акцию, руб",-61.8
"CAPEX, млрд руб",6.67
"CAPEX/Выручка, %",27.0
"EBITDA, млрд руб",6.46
"EPS, руб",51.4
"EV, млрд руб",163.2
EV/EBITDA,25.3
"FCF, млрд руб",-5.78
"FCF/акцию, руб",-81.2
P/BV,-32.5
P/E,39.1
P/FCF,-24.8
P/S,5.85
"R&D/CAPEX, %",57.31
"ROA, %",6.9
"ROE, %",21.5
"Активы, млрд руб",52.7
"Амортизация, млрд руб",1.9
"Баланс стоимость, млрд руб",-4.4
"Выручка, млрд руб",24.5
"Див доход, ао, %",0.2
"Дивиденды/прибыль, %",8.0
"Долг, млрд руб",26.4
Долг/EBITDA,3.12
"Доходность FCF, %",-4.0
"Капитализация, млрд руб",143.1
"Наличность, млрд руб",6.23
"Опер. расходы, млрд руб",17.5
"Опер.денежный поток, млрд руб",2.89
"Операционная прибыль, млрд руб",4.62
"Рентаб EBITDA, %",26.4
"Цена акции ао, руб",2010.0
"Число акций ао, млн",71.2
"Чистая прибыль, млрд руб",3.66
"Чистая рентаб, %",15.0
"Чистые активы, млрд руб",17.1
"Чистый долг, млрд руб",20.1
