Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,,,"6,77","35,0","7,18",Мультипликаторы
P/B,,,"1,06","0,98","1,15",Мультипликаторы
P/S,,,"0,55","0,8","0,72",Мультипликаторы
P/CF,,,"4,3","2,65","5,43",Мультипликаторы
P/FCF,,,"5,08","10,87","6,07",Мультипликаторы
EV/S,"1,12","0,98","0,95","1,43","1,17",Мультипликаторы
EV/EBITDA,"4,78","3,87","3,9","6,79","4,38",Мультипликаторы
EV/EBIT,"13,08","8,05","7,62","28,6","7,55",Мультипликаторы
Коэффициент долга,,,"0,6","0,64","0,61",Мультипликаторы
D/E,,,"1,51","1,81","1,54",Мультипликаторы
CAPEX/Выручка,,,"9,84","13,64","17,48",Мультипликаторы
NetDebt/EBITDA,"2,59","1,69","1,63","2,97","1,66",Мультипликаторы
Долг/EBITDA,"2,86","2,11","1,82","3,78","2,02",Мультипликаторы
ROE,,,"15,58","3,03","15,6",Мультипликаторы
ROA,,,"6,2","1,08","6,15",Мультипликаторы
Return on Sales,,,"12,43","4,99","15,43",Мультипликаторы
ROIC,,,"10,33","3,09","9,52",Мультипликаторы
ROCE,,,"10,58","2,34","10,58",Мультипликаторы
Net Margin,,,"9,24","2,88","11,55",Мультипликаторы
Операционная маржа,,,"15,04","6,57","17,17",Мультипликаторы
EBITDA рентабельность,,,"24,26","21,0","26,6",Мультипликаторы
Тек. ливкидность,,,"0,87","0,94","0,96",Мультипликаторы
Валовая маржа,"86,08","86,47","81,95","88,0","82,06",Мультипликаторы
Выручка,,,8 676 000,5 757 000,8 761 000,Финансовые показатели
Валовая прибыль,5 174 000,7 123 000,7 110 000,5 066 000,7 189 000,Финансовые показатели
EBITDA,,,2 105 000,1 209 000,2 330 000,Финансовые показатели
EBIT,,,1 078 000,287 000,1 352 000,Финансовые показатели
Процентные доходы,107 000,122 000,143 000,95 000,129 000,Финансовые показатели
Процентные расходы,225 000,290 000,227 000,220 000,229 000,Финансовые показатели
Чистые процентные доходы/расходы,-  118 000,-  168 000,-  84 000,-  125 000,-  100 000,Финансовые показатели
Операционный доход,,,1 305 000,378 000,1 504 000,Финансовые показатели
Расходы на персонал,172 000,805 000,933 000,788 000,789 000,Финансовые показатели
Прибыль до налогов,,,994 000,147 000,1 252 000,Финансовые показатели
Чистая прибыль,,,802 000,166 000,1 012 000,Финансовые показатели
Капитал на акционеров,,,4 514 000,4 691 000,5 532 000,Финансовые показатели
Активы,,,12 946 000,15 353 000,16 457 000,Финансовые показатели
CA Оборотные активы,,,2 396 000,2 921 000,3 535 000,Финансовые показатели
Денежные средства и их эквиваленты,335 000,844 000,228 000,806 000,659 000,Финансовые показатели
Обязательства,,,7 797 000,9 881 000,9 968 000,Финансовые показатели
Собственный капитал,,,5 149 000,5 472 000,6 489 000,Финансовые показатели
Капитал на акционеров,,,705 000,132 000,883 000,Финансовые показатели
Внеоборотные активы,,,10 550 000,12 432 000,12 922 000,Финансовые показатели
CFO операционные денежные потоки,,,1 110 000,1 745 000,1 166 000,Финансовые показатели
FCF на акцию,,,941 000,425 000,1 044 000,Финансовые показатели
Инвестиционный денежный поток,,,-  729 000,- 1 694 000,- 1 298 000,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,,-  957 000,530 000,-  19 000,Финансовые показатели
CB Текущие кредиты,2 224 000,973 000,777 000,780 000,882 000,Финансовые показатели
Общий долг,3 640 000,3 515 000,3 436 000,3 589 000,3 873 000,Финансовые показатели
Текущие обязательства,,,2 755 000,3 109 000,3 683 000,Финансовые показатели
CL Текущая аренда,5 000,5 000,18 000,18 000,22 000,Финансовые показатели
Долгосрочная аренда,32 000,27 000,146 000,157 000,154 000,Финансовые показатели
Долгосрочные кредиты,1 751 000,3 386 000,2 887 000,3 615 000,3 650 000,Финансовые показатели
Долгосрочные обязательства,,,5 042 000,6 772 000,6 285 000,Финансовые показатели
Чистый долг,4 012 000,4 391 000,3 828 000,4 570 000,4 708 000,Финансовые показатели
Общие расходы,,,715 000,4 688 000,5 685 000,Финансовые показатели
