Показатель,value_float
"Добыча нефти, млн т",184.0
"Переработка нефти, млн т",82.6
"Добыча газа, млрд м3",87.5
"Выручка, млрд руб",10139.0
"Операционная прибыль, млрд руб",2129.0
"EBITDA, млрд руб",3029.0
"Чистая прибыль, млрд руб",1084.0
"Опер.денежный поток, млрд руб",2465.0
"CAPEX, млрд руб",1442.0
"FCF, млрд руб",1295.0
"Див.выплата, млрд руб",501.6
"Дивиденд, руб/акцию",51.15
"Див доход, ао, %",8.4
"Дивиденды/прибыль, %",46.0
"Опер. расходы, млрд руб",895.0
"Амортизация, млрд руб",848.0
"Активы, млрд руб",20682.0
"Чистые активы, млрд руб",9157.0
"Чистый долг, млрд руб",0.0
"Цена акции ао, руб",605.6
"Число акций ао, млн",10598.0
"Капитализация, млрд руб",6418.0
"EV, млрд руб",6418.0
"Баланс стоимость, млрд руб",9157.0
"EPS, руб",102.3
"FCF/акцию, руб",122.2
"BV/акцию, руб",864.0
"Рентаб EBITDA, %",29.9
"Чистая рентаб, %",10.7
"Доходность FCF, %",20.2
"ROE, %",11.8
"ROA, %",5.2
P/E,5.92
P/FCF,4.96
P/S,0.63
P/BV,0.7
EV/EBITDA,2.12
Долг/EBITDA,0.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",14.0
