Показатель,value_float
"BV/акцию, руб",864.0
"CAPEX, млрд руб",1442.0
"CAPEX/Выручка, %",14.0
"EBITDA, млрд руб",3029.0
"EPS, руб",102.3
"EV, млрд руб",6418.0
EV/EBITDA,2.12
"FCF, млрд руб",1295.0
"FCF/акцию, руб",122.2
P/BV,0.7
P/E,5.92
P/FCF,4.96
P/S,0.63
"R&D/CAPEX, %",0.0
"ROA, %",5.2
"ROE, %",11.8
"Активы, млрд руб",20682.0
"Амортизация, млрд руб",848.0
"Баланс стоимость, млрд руб",9157.0
"Выручка, млрд руб",10139.0
"Див доход, ао, %",8.4
"Дивиденды/прибыль, %",46.0
"Долг, млрд руб",NO_DATA
Долг/EBITDA,0.0
"Доходность FCF, %",20.2
"Капитализация, млрд руб",6418.0
"Наличность, млрд руб",NO_DATA
"Опер. расходы, млрд руб",895.0
"Опер.денежный поток, млрд руб",2465.0
"Операционная прибыль, млрд руб",2129.0
"Рентаб EBITDA, %",29.9
"Цена акции ао, руб",605.6
"Число акций ао, млн",10598.0
"Чистая прибыль, млрд руб",1084.0
"Чистая рентаб, %",10.7
"Чистые активы, млрд руб",9157.0
"Чистый долг, млрд руб",0.0
