Показатель,value_float
"Производство алюминия, тыс т",3848.0
"Продажи алюминия, тыс т",4153.0
"Цена алюминия, $/т",2439.0
"Себестоимость алюминия, $/т",2173.0
"Выручка, млрд руб",1041.0
"Операционная прибыль, млрд руб",-6.7
"EBITDA, млрд руб",67.0
"Чистая прибыль, млрд руб",6.2
"Чистая прибыль н/с, млрд руб",24.0
"Опер.денежный поток, млрд руб",150.0
"CAPEX, млрд руб",90.0
"FCF, млрд руб",31.9
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",157.5
"Себестоимость, млрд руб",890.4
"Амортизация, млрд руб",46.0
"Расх на персонал, млрд руб",56.9
"Процентные расходы, млрд руб",36.0
"Активы, млрд руб",1592.0
"Чистые активы, млрд руб",988.0
"Долг, млрд руб",705.5
"Наличность, млрд руб",187.2
"Чистый долг, млрд руб",518.3
"Цена акции ао, руб",34.0
"Число акций ао, млн",15193.0
"Free Float, %",17.6
"Капитализация, млрд руб",516.5
"EV, млрд руб",1035.0
"Баланс стоимость, млрд руб",778.4
"EPS, руб",0.41
"FCF/акцию, руб",2.1
"BV/акцию, руб",51.2
"Рентаб EBITDA, %",6.4
"Чистая рентаб, %",0.6
"Доходность FCF, %",6.2
"ROE, %",0.6
"ROA, %",0.4
P/E,83.3
P/FCF,16.2
P/S,0.5
P/BV,0.66
EV/EBITDA,15.4
Долг/EBITDA,7.74
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",9.0
IR рейтинг,2.0
Качество фин.отчетности,4.0
Презентации для инвесторов,4.0
Присутствие на смартлабе,1.0
Годовой отчет,1.0
Сайт для инвесторов,2.0
Календарь инвесторов,1.0
Обратная связь,1.0
