Показатель,value_float
"BV/акцию, руб",54.1
"CAPEX, млрд руб",124.5
"CAPEX/Выручка, %",11.0
"EBITDA, млрд руб",136.1
"EPS, руб",4.82
"EV, млрд руб",1143.0
EV/EBITDA,8.4
"FCF, млрд руб",-114.9
"FCF/акцию, руб",-7.56
P/BV,0.68
P/E,7.63
P/FCF,-4.86
P/S,0.51
"R&D/CAPEX, %",0.0
"ROA, %",3.6
"ROE, %",7.2
"Активы, млрд руб",2023.0
"Амортизация, млрд руб",49.0
"Баланс стоимость, млрд руб",821.4
"Выручка, млрд руб",1101.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",721.5
Долг/EBITDA,4.29
"Доходность FCF, %",-20.6
"Капитализация, млрд руб",558.3
"Наличность, млрд руб",137.0
"Опер. расходы, млрд руб",140.6
"Опер.денежный поток, млрд руб",44.0
"Операционная прибыль, млрд руб",33.5
"Рентаб EBITDA, %",12.4
"Цена акции ао, руб",36.8
"Число акций ао, млн",15193.0
"Чистая прибыль, млрд руб",73.2
"Чистая рентаб, %",6.6
"Чистые активы, млрд руб",1022.0
"Чистый долг, млрд руб",584.5
