date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,34.405,34.395,34.08,34.32,16435,,34.32,,,,,,,,0.0,16435,,,,,0.0,,,,,,,,,
2024-01-03,34.27,34.715,34.195,34.71,681978,,34.357142857142854,,,,,,,,0.0,698413,,,,,0.0,,,,,,,,,
2024-01-04,34.68,35.22,34.64,35.1,1146688,,34.427891156462586,,,,,,,,0.0,1845101,,,,,0.0,,,,,,,,,
2024-01-05,35.235,35.175,34.855,34.91,370774,,34.47380628441853,,,,,,,,0.0,1474327,,,,,0.0,,,,,,,,,
2024-01-06,35.05,35.08,34.805,34.935,13293,,34.51772949542629,,,,,,,,0.0,1487620,,,,,0.0,,,,,,,,,
2024-01-07,34.81,35.17,34.81,35.14,18614,,34.57699335300474,,,,,,,,0.0,1506234,,,,,0.0,,,,,,,,,
2024-01-08,35.0,35.24,34.955,35.12,704326,,34.62870827176619,,,,,,,,0.0,801908,,,,,0.0,,,,,,,,,
2024-01-09,35.145,35.135,34.725,34.96,914354,,34.66025986493132,,,,,,,,0.0,-112446,,,,,0.0,,,,,,,,,
2024-01-10,35.0,35.055,34.77,34.825,933568,,34.67594940160453,,,,,,,,0.0,-1046014,,,,,0.0,,,,,34.66,,,,
2024-01-11,34.87,36.01,34.67,35.775,3534538,,34.780620887166,,,,,,,,0.0,2488524,,,,,0.0,,,,,35.1025,,35.775,,
2024-01-12,35.835,36.375,35.69,35.7,2400802,,34.868180802674004,,,,,,,,0.0,87722,,,,,0.0,,,,,35.5075,,35.76349466731192,4.020979020979029,
2024-01-13,35.845,35.845,35.575,35.78,19463,,34.95502072622886,,,,,,,,0.0,107185,,,,,0.0,,,,,35.5225,,35.76555651513544,3.082685105157016,
2024-01-14,35.85,35.93,35.68,35.92,13906,,35.046923514207066,,,,,,,,0.0,121091,,,,,0.0,,,,,35.5225,,35.780773513421416,2.336182336182337,
2024-01-15,35.895,36.065,35.355,35.7,1492078,,35.10912127475877,35.42580952380952,70.23124098138916,70.5882352941178,,,,,0.4717857142857141,-1370987,,,,,0.0,,,,-29.411764705882206,35.5225,,35.77344648710086,2.2629619020338194,
2024-01-16,35.715,35.73,35.165,35.33,1546157,,35.13015734382937,35.442238095238096,58.277276961481114,52.06422018348616,,,,,0.4784438775510201,-2917144,,,,,0.0,1.1582786287381477,0.8052516411378562,,-47.93577981651384,35.5225,,35.76129835458711,1.1306712466008186,
2024-01-17,35.345,35.465,35.265,35.45,882821,,35.16061854917895,35.46504761904762,60.61847594278519,46.68587896253617,56.44611148004671,,,,0.45855502915451885,-2034323,,,,,0.0,1.1637337413925022,0.8852333588370311,,-53.31412103746383,35.5225,,35.75459453928433,0.8821855435401318,
2024-01-18,35.55,35.95,35.31,35.3,1733971,,35.17389297306667,35.46080952380952,56.361119716547954,36.95014662756575,45.233415257862696,,,,0.4715153842149104,-3768294,,,,,0.0,1.1015921152388177,0.8893100833965117,,-63.04985337243425,35.5225,,35.74912615960261,0.5125284738040995,
2024-01-19,35.385,35.41,35.03,35.11,1528803,,35.1678079280127,35.42933333333333,51.43359425521408,25.806451612903118,36.48082573433501,,,,0.4649785710567022,-5297097,,,,,0.0,1.026296018031556,0.9646882043576258,,-74.19354838709688,35.5225,,35.74251757889665,0.4290617848970211,
2024-01-20,34.965,35.35,35.115,35.19,22987,,35.169921458678154,35.40661904761904,53.28551296006542,30.498533724339975,31.085043988269614,,,,0.4489086731240808,-5274110,,,,,0.0,1.04607250755287,0.9584592145015096,,-69.50146627566002,35.7025,,35.72888865474003,1.0480976310121892,
2024-01-21,35.35,35.36,35.08,35.305,18832,35.229,35.182786081661185,35.39680952380953,55.889396128910775,37.24340175953071,31.182795698924604,36.024522469827225,35.229,34.43347753017277,0.4368437679009322,-5255278,-0.10141823915578722,,,,0.0,1.04051987767584,0.970183486238532,6.2988158226253175,-62.75659824046929,35.5475,,35.70275693698619,-1.3137665967854615,
2024-01-22,35.07,35.305,34.95,35.195,829821,35.272749999999995,35.18394931197917,35.370761904761906,52.85458210908974,30.791788856304933,32.84457478005854,35.95111181348894,35.272749999999995,34.59438818651105,0.4309977844794369,-6085099,-0.08071142405132434,,,,0.0,0.9984871406959156,0.9894099848714069,-25.409867244855416,-69.20821114369507,35.5075,,35.66906682438568,-1.4145658263305394,
2024-01-23,35.255,35.22,34.77,34.835,1769008,35.279,35.15071604417163,35.29600000000001,44.36415763276382,9.677419354838669,25.904203323558104,35.93854984648624,35.279,34.61945015351377,0.4323550855880482,-7854107,-0.17315207054472426,,,,0.0,1.006015037593985,0.9864661654135333,-82.05530733003125,-90.32258064516132,35.417500000000004,,35.55409659699709,-2.6411403018446067,
2024-01-24,34.84,34.915,34.305,34.905,1743760,35.26925,35.12731451615529,35.2317619047619,46.17471915630989,28.985507246376876,23.151571819173494,35.944670424624555,35.26925,34.593829575375445,0.44504400804604466,-6110347,-0.11860482556555367,,,,0.0,0.9326164874551962,1.0193548387096771,-129.81234281292132,-71.01449275362313,35.1275,,35.44661906109048,-2.825723830734968,
