Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,,,,"8,04","5,28",Мультипликаторы
P/B,,,,"1,21","1,18",Мультипликаторы
P/S,,,,"2,56","2,45",Мультипликаторы
P/CF,"77,92","10,32","10,72","9,21","8,28",Мультипликаторы
P/FCF,"-98,04","18,39","17,46","12,24","13,27",Мультипликаторы
Коэффициент долга,,,,"0,86","0,86",Мультипликаторы
D/E,,,,"6,14","6,37",Мультипликаторы
CAPEX/Выручка,"6,3","8,88","9,73","6,86","11,1",Мультипликаторы
ROE,,,,"15,07","22,31",Мультипликаторы
ROA,,,,"2,11","3,03",Мультипликаторы
Net Margin,,,,"31,79","46,17",Мультипликаторы
Выручка,,,,,,Финансовые показатели
Процентные доходы,,,,,,Финансовые показатели
Процентные расходы,,,,,,Финансовые показатели
Чистые процентные доходы/расходы,,,,,,Финансовые показатели
Операционный доход,,,,1 703 800,1 863 300,Финансовые показатели
Расходы на персонал,,,,,,Финансовые показатели
Прибыль до налогов,,,,,,Финансовые показатели
Чистая прибыль,,,,,,Финансовые показатели
Капитал на акционеров,,,,,,Финансовые показатели
Активы,,,,,,Финансовые показатели
Денежные средства и их эквиваленты,,,,,,Финансовые показатели
Обязательства,,,,,,Финансовые показатели
Собственный капитал,,,,,,Финансовые показатели
Капитал на акционеров,,,,,,Финансовые показатели
CFO операционные денежные потоки,,,64 800,405 300,532 800,Финансовые показатели
FCF на акцию,,,-  51 500,227 400,327 000,Финансовые показатели
Инвестиционный денежный поток,,,-  105 600,-  196 000,-  247 300,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,,-  162 300,-  320 600,-  442 600,Финансовые показатели
Чистые комиссионные доходы,,,,,,Финансовые показатели
Общий долг,,- 2 027 300,- 2 423 400,11 767 400,- 2 052 300,Финансовые показатели
Долгосрочные кредиты,2 185 000,1 900 900,1 650 900,1 550 900,1 349 600,Финансовые показатели
Чистый долг,2 185 000,1 900 900,1 650 900,1 550 900,1 349 600,Финансовые показатели
