Показатель,value_float
"Чистый операц доход, млрд руб",3428.0
"Чист. проц. доходы, млрд руб",2565.0
"Чист. комисс. доход, млрд руб",763.9
"Доходы по цб, млрд руб",99.6
"Число клиентов, млн",108.5
"Чистая прибыль, млрд руб",1509.0
"Див.выплата, млрд руб",752.2
"Дивиденд, руб/акцию",33.3
"Див доход, ао, %",12.3
"Дивиденд ап, руб/акцию",33.3
"Див доход, ап, %",12.2
"Дивиденды/прибыль, %",50.0
"Опер. расходы, млрд руб",924.4
"Расх на персонал, млрд руб",572.2
"Процентные расходы, млрд руб",1836.0
"Создание резервов, млрд руб",235.4
"Наличность, млрд руб",2387.0
"Чистый долг, млрд руб",-2387.0
"Активы банка, млрд руб",52307.0
"Капитал, млрд руб",6584.0
"Кредитный портфель, млрд руб",37558.0
"Кредиты юрлицам, млрд руб",20557.0
"Кредиты физлицам, млрд руб",15359.0
"Депозиты, млрд руб",36693.0
"Депозиты юрлиц, млрд руб",13789.0
"Депозиты физлиц, млрд руб",22904.0
"Дост.осн капитала, %",13.8
"Дост. общ капитала, %",14.0
"Стоимость риска, %",0.8
"Loan-to-deposit ratio, %",102.0
"Просроченные кредиты, NPL, %",3.4
"Цена акции ао, руб",271.5
"Число акций ао, млн",21587.0
"Цена акции ап, руб",272.5
"Число акций ап, млн",1000.0
"Капитализация, млрд руб",6132.0
"EV, млрд руб",3745.0
"EPS, руб",69.9
"ROE, %",25.3
"ROA, %",3.2
"Чистая процентная маржа, %",5.98
"Рентабельность банка, %",44.0
P/E,4.06
P/B,0.93
"Персонал, чел",296585.0
"Произв.труда, млн руб/чел/год",11.6
"Расходы/чел/год, тыс.р",1929.0
IR рейтинг,4.6
Качество фин.отчетности,5.0
Презентации для инвесторов,5.0
Присутствие на смартлабе,2.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,5.0
Обратная связь,5.0
