Показатель,value_float
"BV/акцию, руб",NO_DATA
"CAPEX, млрд руб",NO_DATA
"CAPEX/Выручка, %",NO_DATA
"EBITDA, млрд руб",NO_DATA
"EPS, руб",73.2
"EV, млрд руб",4053.0
EV/EBITDA,NO_DATA
"FCF, млрд руб",NO_DATA
"FCF/акцию, руб",NO_DATA
P/BV,NO_DATA
P/E,3.99
P/FCF,NO_DATA
P/S,NO_DATA
"R&D/CAPEX, %",NO_DATA
"ROA, %",2.8
"ROE, %",24.0
"Активы, млрд руб",NO_DATA
"Амортизация, млрд руб",NO_DATA
"Баланс стоимость, млрд руб",NO_DATA
"Выручка, млрд руб",NO_DATA
"Див доход, ао, %",12.5
"Дивиденды/прибыль, %",50.0
"Долг, млрд руб",NO_DATA
Долг/EBITDA,NO_DATA
"Доходность FCF, %",NO_DATA
"Капитализация, млрд руб",6305.0
"Наличность, млрд руб",2252.0
"Опер. расходы, млрд руб",1063.0
"Опер.денежный поток, млрд руб",NO_DATA
"Операционная прибыль, млрд руб",NO_DATA
"Рентаб EBITDA, %",NO_DATA
"Цена акции ао, руб",279.2
"Число акций ао, млн",21587.0
"Чистая прибыль, млрд руб",1580.0
"Чистая рентаб, %",NO_DATA
"Чистые активы, млрд руб",NO_DATA
"Чистый долг, млрд руб",-2252.0
