id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,stock_impact,sentiment_category,sentiment_simple,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact,event_direction
61313,2024-06-04 08:03:42+00:00,"#Недвижимость 
🏗 Сбер не фиксирует пузыря на рынке жилья, разница между ценами на первичку и вторичку адекватна — зампред правления — ТАСС",['SBER'],[],['SBER'],False,SBER,Сбербанк,банк,industry,"Недвижимость Сбер не фиксирует пузыря на рынке жилья, разница между ценами на первичку и вторичку адекватна зампред правления ТАСС",0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
61331,2024-06-04 14:33:08+00:00,"#Макро
**🇷🇺**** Экономика России точно и сильно перегрета **— глава Сбера Греф",['SBER'],[],['SBER'],False,SBER,Сбербанк,банк,industry,Макро Экономика России точно и сильно перегрета глава Сбера Греф,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,True,True,1,neutral
61337,2024-06-05 04:59:58+00:00,"Фокус недели [#ФН](tg://search_hashtag?hashtag=%D0%A4%D0%9D) 

**Сегодня
**Корп:
🏦 SFI: ГОСА по дивидендам за 2023 #SFIN
**
**Макро:
🌏 ПМЭФ — 1 день
🇷🇺 Россия: Индекс деловой активности в секторе услуг (09:00 мск)
🇺🇸 США: Изменение числа занятых в несельскохозяйственном секторе от ADP (15:30 мск)
🇺🇸 США: Запасы сырой нефти (17:30 мск)
🇷🇺 Россия: Месячный ВВП (19:00 мск)
🇷🇺 Россия: Уровень безработицы и объем розничных продаж в мае (19:00 мск)

**6 июня**
Корп:
💵 Займер: Последний день с дивидендом 4.58 руб #ZAYM
🇷🇺 АФК Система: Отчетность по МСФО за 1кв2024 #AFKS финансовые результаты по МСФО за I кв. 2024 г.
🧬 Артген: ГОСА по дивидендам за 2023 (рекомендация СД 1.20 руб) #ABIO

Макро:
🌏 ПМЭФ — 2 день
🇪🇺 Европа: Решение по процентной ставке ЕЦБ (15:15 мск)
🇺🇸 США: Сальдо торгового баланса (15:30 мск)
🇺🇸 США: Число первичных заявок на получение пособий по безработице (15:30 мск)

**7 июня 
**Корп:
💿 Северсталь: ГОСА по дивидендам за 2023 и 1кв2024 #CHMF
💿 ММК: Последний день с дивидендом за 2023 #MAGN

Макро:
🌏 ПМЭФ — 3 день
🇷🇺 Россия: Заседание СД ЦБ РФ по ключевой ставке (13:30 мск)
🇺🇸 США: уровень безработицы (15:30 мск)
🇺🇸 США: Изменение числа занятых в несельскохозяйственном секторе в мае (15:30 мск)
**
10 июня**
Корп:
—
**
**Макро:
🇨🇳 Китай: Выходной — праздник драконьих лодок
🇯🇵 Япония: ВВП за 1кв2024 (02:50 мск)
**
11 июня**
Корп:
✈️ Аэрофлот: Операционные результаты за май #AFLT
🏦 Сбер: Отчетность по РСБУ за май #SBER 
**
**Макро:
🛢 США: Ежемесячный отчет ОПЕК (14:00 мск)","['MAGN', 'SBER', 'AFKS']","['AFKS', 'MAGN', 'SBER']","['SBER', 'AFKS', 'MAGN']",False,SBER,Сбербанк,банк,company_specific,Фокус недели Сегодня Корп: SFI: ГОСА по дивидендам за 2023 SFIN Макро: ПМЭФ 1 день Россия: Индекс деловой активности в секторе услуг (09:00 мск) США: Изменение числа занятых в несельскохозяйственном секторе от ADP (15:30 мск) США: Запасы сырой нефти (17:30 мск) Россия: Месячный ВВП (19:00 мск) Россия: Уровень безработицы и объем розничных продаж в мае (19:00 мск) 6 июня Корп: Займер: Последний день с дивидендом 4.58 руб ZAYM АФК Система: Отчетность по МСФО за 1кв2024 AFKS финансовые результаты по МСФО за I кв. 2024 г. Артген: ГОСА по дивидендам за 2023 (рекомендация СД 1.20 руб) ABIO Макро: ПМЭФ 2 день Европа: Решение по процентной ставке ЕЦБ (15:15 мск) США: Сальдо торгового баланса (15:30 мск) США: Число первичных заявок на получение пособий по безработице (15:30 мск) 7 июня Корп: Северсталь: ГОСА по дивидендам за 2023 и 1кв2024 CHMF ММК: Последний день с дивидендом за 2023 MAGN Макро: ПМЭФ 3 день Россия: Заседание СД ЦБ РФ по ключевой ставке (13:30 мск) США: уровень безработицы (15:30 мск) США: Изменение числа занятых в несельскохозяйственном секторе в мае (15:30 мск) 10 июня Корп: Макро: Китай: Выходной праздник драконьих лодок Япония: ВВП за 1кв2024 (02:50 мск) 11 июня Корп: Аэрофлот: Операционные результаты за май AFLT Сбер: Отчетность по РСБУ за май SBER Макро: США: Ежемесячный отчет ОПЕК (14:00 мск),0.0,0.0,1.0,0.0,0.0,neutral,neutral,True,True,False,True,False,False,True,True,4,neutral
61342,2024-06-05 07:40:46+00:00,"#Недвижимость #SBER
**Сбер ждет всплеск спроса на ипотеку в июне, выход на нормальные темпы к августу-сентябрю — первый зампред** — Интерфакс",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,"Недвижимость SBER Сбер ждет всплеск спроса на ипотеку в июне, выход на нормальные темпы к августу-сентябрю первый зампред Интерфакс",0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
61352,2024-06-05 11:10:26+00:00,"#SBER
**Сбер с 5 июня повышает ставки по базовым ипотечным программам на 1.5 п. п.** 

Минимальная ставка составит 18.2%,",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,"SBER Сбер с 5 июня повышает ставки по базовым ипотечным программам на 1.5 п. п. Минимальная ставка составит 18.2,",0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,True,True,1,neutral
61353,2024-06-05 11:26:40+00:00,"[**Шпион**](https://t.me/stockspy_bot?start=promo_time)** сигналит о начале крупных распродаж в акциях Сбера ****$SBER**** 📉**

А ведь это только начало, и АТТ Вас об этом предупреждали ☝️

https://t.me/c/1164849828/20543

Бурный отскок российского рынка завершен, а хомяки 🐹 поверившие в начало нового «вечного роста» закупались по полной. Теперь можно продолжить финальное выдавливание их из рынка, прежде чем тот вернется к реальному росту после 7 июня 👀

Ранее Мы уже писали о том, что тем, кто не успел купить акции, не стоит расстраиваться, и привлекательные точки входа вернутся совсем скоро. Начало положено 💪

Хотите знать какие еще бумаги покупают или продают крупнейшие акулы рынка❓Тогда подключайте Шпиона по скидке, воспользовавшись [**ПРОМОКОДом от АТТ **](https://t.me/stockspy_bot?start=promo_time)😉

[https://t.me/stockspy_bot?start=promo_time](https://t.me/stockspy_bot?start=promo_time)

[**👉 ПОДПИСАТЬСЯ НА АТТ**](https://t.me/+W7EOvM1pixU5ZWIy)",['SBER'],[],['SBER'],True,SBER,Сбербанк,банк,industry,"Шпион( сигналит о начале крупных распродаж в акциях Сбера SBER А ведь это только начало, и АТТ Вас об этом предупреждали Бурный отскок российского рынка завершен, а хомяки поверившие в начало нового вечного роста закупались по полной. Теперь можно продолжить финальное выдавливание их из рынка, прежде чем тот вернется к реальному росту после 7 июня Ранее Мы уже писали о том, что тем, кто не успел купить акции, не стоит расстраиваться, и привлекательные точки входа вернутся совсем скоро. Начало положено Хотите знать какие еще бумаги покупают или продают крупнейшие акулы рынкаТогда подключайте Шпиона по скидке, воспользовавшись ПРОМОКОДом от АТТ ( ПОДПИСАТЬСЯ НА АТТ(",0.11687812379853904,0.0,0.9220812508009739,0.07791874919902603,0.05843906189926952,neutral,positive,False,False,False,False,False,False,False,False,1,positive
61365,2024-06-05 16:02:04+00:00,"#SBER #IPO
Сбер прорабатывает порядка 15 потенциальных IPO — топ-менеджер",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,SBER IPO Сбер прорабатывает порядка 15 потенциальных IPO топ-менеджер,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
61379,2024-06-06 06:05:25+00:00,"#SBER #Недвижимость
Сбер в июне планирует запустить льготную ипотеку под 2% на территории ЛНР и ДНР",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,SBER Недвижимость Сбер в июне планирует запустить льготную ипотеку под 2 на территории ЛНР и ДНР,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
61394,2024-06-06 09:30:48+00:00,"#SBERP [SBERP](https://www.tinkoff.ru/invest/stocks/SBERP?utm_source=security_share) #SBER [SBER](https://www.tinkoff.ru/invest/stocks/SBER?utm_source=security_share)
СБЕРБАНК ФИКСИРУЕТ НЕБОЛЬШОЙ РОСТ ВЫДАЧ ПОТРЕБКРЕДИТОВ В МАЕ К АПРЕЛЮ - ПЕРВЫЙ ЗАМПРЕД

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot","['SBER', 'VTBR']",['SBER'],"['SBER', 'VTBR']",False,SBER,Сбербанк,банк,company_specific,SBERP SBERP( SBER SBER( СБЕРБАНК ФИКСИРУЕТ НЕБОЛЬШОЙ РОСТ ВЫДАЧ ПОТРЕБКРЕДИТОВ В МАЕ К АПРЕЛЮ - ПЕРВЫЙ ЗАМПРЕД Замечено Шпионом РЦБ. Подключить: StockSpy_bot,0.25,0.0,0.8333333333333334,0.16666666666666666,0.125,positive,positive,False,False,False,True,False,False,False,True,2,positive
61395,2024-06-06 09:32:09+00:00,"#SBER #Недвижимость 
**Объем выдачи ипотеки в мае вырос к апрелю **— первый зампред",['SBER'],['SBER'],[],False,SBER,Сбербанк,банк,company_specific,SBER Недвижимость Объем выдачи ипотеки в мае вырос к апрелю первый зампред,0.0,0.0,1.0,0.0,0.0,neutral,neutral,False,False,False,False,False,False,False,False,1,neutral
