date,avg_sentiment,sentiment_compound_median,sentiment_compound_std,sentiment_compound_min,sentiment_compound_max,sentiment_compound_count,sentiment_positive_mean,sentiment_positive_sum,sentiment_negative_mean,sentiment_negative_sum,sentiment_neutral_mean,news_count,stock_impact_mean,stock_impact_median,stock_impact_std,positive_ratio,negative_ratio,sentiment_ratio,sentiment_strength,sentiment_direction,cbr_meeting,days_to_cbr_meeting,cbr_proximity_factor,cbr_adjusted_sentiment,day_of_week,month,is_weekend,trading_activity_index,weighted_sentiment,sentiment_ma_3d,news_count_ma_3d,sentiment_ma_7d,news_count_ma_7d,sentiment_ma_14d,news_count_ma_14d,sentiment_std_3d,sentiment_std_7d,sentiment_std_14d,sentiment_change_1d,news_count_change_1d,sentiment_zscore_3d,sentiment_zscore_7d,sentiment_zscore_14d
2024-04-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99,1.0,0.0,2,4,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99,1.0,0.0,3,4,0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
2024-04-19 00:00:00+00:00,0.25,0.25,0.0,0.25,0.25,1,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,1,0.125,0.125,0.0,0.16666666666666666,0.0,166.66666666666666,0.17328679513998632,1.0,0,99,1.0,0.25,4,4,0,1.0,0.25,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.14433756729740646,0.14433756729740646,0.14433756729740646,0.25,1.0,1.1547005383792515,1.1547005383792515,1.1547005383792515
2024-04-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99,1.0,0.0,5,4,1,0.3,0.0,0.08333333333333333,0.3333333333333333,0.0625,0.5,0.0625,0.5,0.14433756729740646,0.125,0.125,-0.25,-1.0,-0.5773502691896256,-0.5,-0.5
2024-04-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1.1,0.0,6,4,1,0.3,0.0,0.08333333333333333,0.3333333333333333,0.05,0.4,0.05,0.4,0.14433756729740646,0.1118033988749895,0.1118033988749895,0.0,0.0,-0.5773502691896256,-0.4472135954999579,-0.4472135954999579
2024-04-22 00:00:00+00:00,0.05,0.05,0.0,0.05,0.05,1,0.029183884297520668,0.029183884297520668,0.0,0.0,0.9708161157024793,1,0.025,0.025,0.0,0.029183884297520668,0.0,29.183884297520667,0.03465735902799726,1.0,0,4,1.2,0.06,0,4,0,1.0,0.05,0.016666666666666666,0.3333333333333333,0.049999999999999996,0.5,0.049999999999999996,0.5,0.028867513459481343,0.1,0.1,0.05,1.0,1.1547005383792495,6.938893903907228e-17,6.938893903907228e-17
2024-04-23 00:00:00+00:00,0.10416666666666667,0.025,0.20761542974130476,0.0,0.5249999999999999,6,0.0685393765349277,0.4112362592095662,0.0,0.0,0.9314606234650723,6,0.052083333333333336,0.0125,0.10380771487065238,0.0685393765349277,0.0,68.5393765349277,0.20269897385992847,1.0,0,3,1.3,0.13541666666666669,1,4,0,1.0,0.10416666666666667,0.051388888888888894,2.3333333333333335,0.05773809523809524,1.2857142857142858,0.05773809523809524,1.2857142857142858,0.052097220370864054,0.0935546907361152,0.0935546907361152,0.05416666666666667,5.0,1.0130632191519824,0.4962719780617955,0.4962719780617955
2024-04-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1.4,0.0,2,4,0,1.0,0.0,0.051388888888888894,2.3333333333333335,0.05773809523809524,1.1428571428571428,0.050520833333333334,1.125,0.052097220370864054,0.0935546907361152,0.08898784639238977,-0.10416666666666667,-6.0,-0.9864036607532461,-0.6171587419486432,-0.5677273400972414
2024-04-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.5,0.0,3,4,0,1.0,0.0,0.034722222222222224,2.0,0.05773809523809524,1.1428571428571428,0.04490740740740741,1.0,0.06014065304058604,0.0935546907361152,0.0849268930345025,0.0,0.0,-0.5773502691896256,-0.6171587419486432,-0.5287772318382502
2024-04-26 00:00:00+00:00,0.06618303571428574,0.025,0.5067115950834934,-0.65625,0.9545454545454546,8,0.13862433862433865,1.1089947089947092,0.09635416666666667,0.7708333333333334,0.7650214947089947,8,0.03309151785714287,0.0125,0.2533557975417467,0.13862433862433865,0.09635416666666667,1.4386958386958388,0.14541899267414943,1.0,1,99,1.5,0.09927455357142861,4,4,0,1.0,0.06618303571428574,0.022061011904761913,2.6666666666666665,0.03147852891156463,2.142857142857143,0.04703497023809524,1.7,0.03821079348542952,0.04241580716303262,0.08035200641055568,0.06618303571428574,8.0,1.1547005383792506,0.8181974863599373,0.23830226937152202
