date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,268.87,270.87,270.0,270.84,28667,,270.84,,,,,,,,0.0,28667,,,,,0.0,,,,,,,,,
2024-01-03,271.9,274.78,271.1,274.56,2056323,,271.1942857142857,,,,,,,,0.0,2084990,,,,,0.0,,,,,,,,,
2024-01-04,274.67,275.5,273.81,274.12,1170901,,271.472925170068,,,,,,,,0.0,914089,,,,,0.0,,,,,,,,,
2024-01-05,274.3,274.69,271.95,273.62,962505,,271.6774084872044,,,,,,,,0.0,-48416,,,,,0.0,,,,,,,,,
2024-01-06,274.71,274.11,273.3,273.89,26638,,271.888131488423,,,,,,,,0.0,-21778,,,,,0.0,,,,,,,,,
2024-01-07,274.72,274.09,273.5,273.68,21973,,272.05878563238275,,,,,,,,0.0,-43751,,,,,0.0,,,,,,,,,
2024-01-08,273.6,276.95,273.6,276.76,2138308,,272.5065203340606,,,,,,,,0.0,2094557,,,,,0.0,,,,,,,,,
2024-01-09,276.97,278.99,273.02,275.28,1988192,,272.77066125462625,,,,,,,,0.0,106365,,,,,0.0,,,,,,,,,
2024-01-10,275.3,276.99,274.06,274.49,2010632,,272.9344078018047,,,,,,,,0.0,-1904267,,,,,0.0,,,,,274.495,,,,
2024-01-11,274.78,279.93,274.1,275.71,1924088,,273.19874991591854,,,,,,,,0.0,19821,,,,,0.0,,,,,275.515,,275.71,,
2024-01-12,276.0,277.5,274.64,275.84,1746531,,273.45029754297394,,,,,,,,0.0,1766352,,,,,0.0,,,,,275.94,,275.7232125688137,1.846108403485453,
2024-01-13,274.76,276.3,275.4,275.4,24854,,273.63598349126215,,,,,,,,0.0,1741498,,,,,0.0,,,,,275.94,,275.7182744104736,0.30594405594404683,
2024-01-14,275.92,276.39,275.54,276.26,19864,,273.8858898254277,,,,,,,,0.0,1761362,,,,,0.0,,,,,276.475,,275.7417145623778,0.7806799941631353,
2024-01-15,276.45,278.0,275.01,275.96,2106914,,274.0834241277679,275.3262857142857,66.10701640659201,60.02014098690811,,,,,2.6042857142857168,-345552,,,,,0.0,,,,-39.97985901309189,276.475,,275.7527650822106,0.8552006432278251,
2024-01-16,276.22,280.0,272.97,276.01,1555416,,274.266907544171,275.4951428571428,66.33269203443535,55.16853932584248,,,,,2.9204081632653067,1209864,,,,,0.0,1.0603003284842782,0.7871891130924437,,-44.83146067415752,276.485,,275.764506566153,0.7740333710613767,
2024-01-17,276.02,279.02,276.0,278.0,3325198,,274.62244015901183,275.88009523809524,73.80776146236008,75.15527950310563,63.447986605285415,,,,2.927521865889212,4535062,,,,,0.0,1.1141486810551544,0.8949640287769771,,-24.844720496894375,276.485,,275.987863426183,1.5784858228588106,
2024-01-18,278.24,279.99,275.8,277.07,1720593,,274.85554109624877,276.10828571428567,66.38921335498824,63.60248447204965,64.6421011003326,,,,3.017698875468554,2814469,,,,,0.0,1.0418552036199087,0.8952488687782794,,-36.39751552795035,276.485,,275.9961122431178,0.11201040612805402,
2024-01-19,277.39,277.39,273.46,274.86,2755976,,274.8559657537489,276.0137142857143,52.806207943571174,26.884779516358375,55.214181163837885,,,,3.082863241506515,58493,,,,,0.0,1.030182859660717,0.9374311522361747,,-73.11522048364162,276.485,,275.98631377503426,-0.1525719267654603,
2024-01-20,275.96,275.27,274.35,275.15,35259,,274.8839690152966,275.946,54.13236543314598,31.009957325746207,40.499073771384744,,,,2.9283730099703322,93752,,,,,0.0,1.0199999999999994,0.9714285714285712,,-68.99004267425379,276.485,,275.97587626949945,0.2404459178840643,
2024-01-21,275.74,275.3,274.62,275.3,26928,275.14,274.92359101383977,275.88628571428575,54.8392513109962,33.14366998577515,30.346135609293242,278.1237091011022,275.14,272.1562908988978,2.767774937829595,120680,-0.04550583837000007,,,,0.0,1.0214959420925633,0.9703882430357517,-6.185767187697045,-66.85633001422485,276.485,,275.969371173333,-0.14870697471980276,
2024-01-22,274.86,275.98,274.07,274.93,1495059,275.3445,274.92420139347405,275.7618095238096,52.682478936073615,27.880512091038224,30.67804646751986,277.5908434732916,275.3445,273.09815652670835,2.7065052994131973,-1374379,-0.04951451000827626,,,,0.0,1.007474518686295,1.0187995469988658,-28.20688083845995,-72.11948790896177,276.485,,275.94994551054936,-0.3299013921113574,
