Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,,"12,81","5,1","2,89","6,21",Мультипликаторы
P/B,,"0,72","1,09","0,79","1,36",Мультипликаторы
P/S,,"0,75","0,84","0,64","1,13",Мультипликаторы
P/CF,,"2,92","2,73","2,73","4,32",Мультипликаторы
P/FCF,,"14,56","5,13","9,3","9,94",Мультипликаторы
EV/S,,"1,03","0,89","0,69","1,28",Мультипликаторы
EV/EBITDA,,"4,23","2,77","1,66","3,96",Мультипликаторы
EV/EBIT,,"12,78","4,26","2,63","5,83",Мультипликаторы
Коэффициент долга,,"0,47","0,49","0,47","0,51",Мультипликаторы
D/E,,"0,88","0,95","0,87","1,02",Мультипликаторы
CAPEX/Выручка,"18,23","22,19","15,4",,"14,84",Мультипликаторы
NetDebt/EBITDA,,"1,13","0,16","0,13","0,47",Мультипликаторы
Долг/EBITDA,,"1,81","0,84","0,45","0,99",Мультипликаторы
ROE,,"5,33","20,46","26,92","21,3",Мультипликаторы
ROA,,"2,83","10,47","14,36","10,53",Мультипликаторы
Return on Sales,,"8,04","20,86","26,21","22,03",Мультипликаторы
ROIC,,"3,51","12,81","18,67","13,99",Мультипликаторы
ROCE,,"4,63","17,8","23,3","18,11",Мультипликаторы
Net Margin,,"6,03","16,93","21,58","18,11",Мультипликаторы
Операционная маржа,,"7,26","18,29","25,51","20,48",Мультипликаторы
EBITDA рентабельность,,"24,26","32,14","41,51","32,39",Мультипликаторы
Тек. ливкидность,,"0,97","0,89","0,88","0,85",Мультипликаторы
Выручка,,1 999 620,3 068 442,3 412 129,3 519 959,Финансовые показатели
EBITDA,,485 203,986 127,1 416 230,1 140 048,Финансовые показатели
EBIT,,160 838,640 034,894 348,775 473,Финансовые показатели
Процентные доходы,22 906,11 378,18 564,,35 195,Финансовые показатели
Процентные расходы,32 772,28 746,25 631,,43 041,Финансовые показатели
Чистые процентные доходы/расходы,-  9 816,-  17 368,-  7 067,,-  7 846,Финансовые показатели
Операционный доход,,145 177,561 337,870 352,721 049,Финансовые показатели
Расходы на персонал,125 592,115 926,132 328,,170 433,Финансовые показатели
Прибыль до налогов,,143 470,632 967,894 348,767 627,Финансовые показатели
Чистая прибыль,,120 633,519 363,736 462,637 516,Финансовые показатели
Капитал на акционеров,,2 084 638,2 348 082,2 735 653,2 928 439,Финансовые показатели
Активы,,4 259 174,4 960 473,5 128 816,6 053 578,Финансовые показатели
CA Оборотные активы,,762 094,1 215 535,1 137 033,1 508 736,Финансовые показатели
Денежные средства и их эквиваленты,,237 011,573 421,452 209,638 005,Финансовые показатели
Обязательства,,1 996 727,2 422 280,2 393 163,3 059 847,Финансовые показатели
Собственный капитал,,2 262 447,2 538 193,2 735 653,2 993 731,Финансовые показатели
Капитал на акционеров,,117 699,503 445,751 473,641 110,Финансовые показатели
Внеоборотные активы,,3 497 080,3 744 938,3 991 783,4 544 842,Финансовые показатели
CFO операционные денежные потоки,,517 057,941 923,793 153,922 950,Финансовые показатели
FCF на акцию,,103 531,500 090,233 267,400 536,Финансовые показатели
Инвестиционный денежный поток,,-  374 165,-  460 062,-  549 687,-  572 214,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,-  123 957,-  143 204,-  336 257,-  220 684,Финансовые показатели
CB Текущие кредиты,,45 695,180 678,24 772,198 779,Финансовые показатели
Общий долг,,547 214,160 599,186 268,536 786,Финансовые показатели
Текущие обязательства,,786 223,1 363 785,1 290 055,1 771 690,Финансовые показатели
CL Текущая аренда,9 927,11 633,12 555,,39 476,Финансовые показатели
Долгосрочная аренда,77 868,83 696,80 902,,186 532,Финансовые показатели
Долгосрочные кредиты,,738 530,553 342,613 705,699 124,Финансовые показатели
Долгосрочные обязательства,,1 210 504,1 058 495,1 103 108,1 288 157,Финансовые показатели
Чистый долг,,879 554,827 477,638 477,1 123 911,Финансовые показатели
Общие расходы,,,,2 541 777,2 798 910,Финансовые показатели
