Показатель,value_float
"Добыча нефти, млн т",120.5
"Переработка нефти, млн т",42.4
"Выручка, млрд руб",3520.0
"Операционная прибыль, млрд руб",721.1
"EBITDA, млрд руб",1320.0
"Чистая прибыль, млрд руб",641.1
"Опер.денежный поток, млрд руб",923.0
"CAPEX, млрд руб",572.2
"FCF, млрд руб",400.5
"Див.выплата, млрд руб",485.6
"Дивиденд, руб/акцию",102.43
"Див доход, ао, %",12.1
"Дивиденды/прибыль, %",76.0
"Опер. расходы, млрд руб",2799.0
"Амортизация, млрд руб",364.6
"Активы, млрд руб",6054.0
"Чистые активы, млрд руб",2994.0
"Долг, млрд руб",897.9
"Наличность, млрд руб",587.1
"Чистый долг, млрд руб",310.8
"Цена акции ао, руб",847.1
"Число акций ао, млн",4741.0
"Капитализация, млрд руб",4016.0
"EV, млрд руб",4327.0
"Баланс стоимость, млрд руб",2994.0
"EPS, руб",135.2
"FCF/акцию, руб",84.5
"BV/акцию, руб",631.4
"Рентаб EBITDA, %",37.5
"Чистая рентаб, %",18.2
"Доходность FCF, %",10.0
"ROE, %",21.4
"ROA, %",10.6
P/E,6.26
P/FCF,10.0
P/S,1.14
P/BV,1.34
EV/EBITDA,3.28
Долг/EBITDA,0.24
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",16.0
