Показатель,value_float
"BV/акцию, руб",668.3
"CAPEX, млрд руб",505.5
"CAPEX/Выручка, %",12.0
"EBITDA, млрд руб",1396.0
"EPS, руб",101.1
"EV, млрд руб",3860.0
EV/EBITDA,2.76
"FCF, млрд руб",318.6
"FCF/акцию, руб",67.2
P/BV,0.98
P/E,6.5
P/FCF,9.78
P/S,0.76
"R&D/CAPEX, %",0.0
"ROA, %",7.8
"ROE, %",15.1
"Активы, млрд руб",6141.0
"Амортизация, млрд руб",470.7
"Баланс стоимость, млрд руб",3169.0
"Выручка, млрд руб",4100.0
"Див доход, ао, %",7.9
"Дивиденды/прибыль, %",51.0
"Долг, млрд руб",960.3
Долг/EBITDA,0.53
"Доходность FCF, %",10.2
"Капитализация, млрд руб",3117.0
"Наличность, млрд руб",217.7
"Опер. расходы, млрд руб",3421.0
"Опер.денежный поток, млрд руб",823.8
"Операционная прибыль, млрд руб",678.8
"Рентаб EBITDA, %",34.1
"Цена акции ао, руб",657.5
"Число акций ао, млн",4741.0
"Чистая прибыль, млрд руб",479.5
"Чистая рентаб, %",11.7
"Чистые активы, млрд руб",3169.0
"Чистый долг, млрд руб",742.6
