date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-06-01,667.25,686.25,667.25,671.0,19094,,671.0,,,,,,,,0.0,19094,,,,,0.0,,,,,,,,,
2024-06-02,665.6,680.9,665.6,680.8,12844,,671.9333333333333,,,,,,,,0.0,31938,,,,,0.0,,,,,,,,,
2024-06-03,676.15,686.15,648.6,672.7,2423046,,672.0063492063491,,,,,,,,0.0,-2391108,,,,,0.0,,,,,,,,,
2024-06-04,672.7,680.2,649.85,674.15,4858509,,672.210506424792,,,,,,,,0.0,2467401,,,,,0.0,,,,,,,,,
2024-06-05,675.0,699.5,670.4,690.9,2107885,,673.9904581938595,,,,,,,,0.0,4575286,,,,,0.0,,,,,,,,,
2024-06-06,696.9,706.15,687.55,705.0,844704,,676.9437478896824,,,,,,,,0.0,5419990,,,,,0.0,,,,,,,,,
2024-06-07,706.5,732.5,704.85,725.7,2581249,,681.5872004716174,,,,,,,,0.0,8001239,,,,,0.0,,,,,,,,,
2024-06-08,731.3,730.95,725.4,730.35,14315,,686.2312766171776,,,,,,,,0.0,8015554,,,,,0.0,,,,,,,,,
2024-06-09,725.7,732.2,725.7,732.2,19943,,690.6092502726846,,,,,,,,0.0,8035497,,,,,0.0,,,,,690.55,,,,
2024-06-10,730.0,733.1,715.2,717.8,1501006,,693.1988454848098,,,,,,,,0.0,6534491,,,,,0.0,,,,,690.85,,717.8,,
2024-06-11,715.0,732.4,711.0,731.8,1237209,,696.875145914828,,,,,,,,0.0,7771700,,,,,0.0,,,,,690.85,,720.1597583430105,9.061102831594628,
2024-06-12,732.95,733.0,702.4,709.15,152263,,698.0441796372253,,,,,,,,0.0,7619437,,,,,0.0,,,,,691.475,,719.6816313836879,4.164218566392483,
2024-06-13,695.0,740.8,695.0,738.4,1630734,,701.8875911003466,,,,,,,,0.0,9250171,,,,,0.0,,,,,705.5999999999999,,721.9420048920995,9.76661215995242,
2024-06-14,738.8,741.35,721.7,733.4,1193855,,704.8887729003136,719.5114285714287,66.20764036984963,91.42857142857139,,,,,23.210714285714282,8056316,,,,,0.0,,,,-8.571428571428621,714.45,,723.0673999442881,8.788845212489802,
2024-06-15,736.3666666666667,736.3666666666667,730.95,733.5,8786,,707.6136516717123,722.8985714285715,66.23928893561232,91.5363881401617,,,,,21.939710884353733,8065102,,,,,0.0,1.2045819505406277,0.8390429290225885,,-8.4636118598383,718.175,,723.8109935523264,6.165870603560577,
2024-06-16,735.75,735.8,732.0,735.8,5788,,710.2980657982159,725.9971428571429,67.0047092670715,94.01617250673847,92.32704402515719,,,,20.644017249757034,8070890,,,,,0.0,1.221431747443308,0.8169186305024455,,-5.983827493261529,718.175,,724.4229545309281,4.368794326241128,
2024-06-17,734.0,736.0,722.9,726.05,854504,,711.7982500079097,727.2719047619048,60.720046646297135,83.27868852459008,89.61041639049675,,,,20.10515887477439,7216386,,,,,0.0,1.269773071104387,0.819001512859304,,-16.721311475409912,718.175,,724.4301591646775,0.048229295852268025,
2024-06-18,725.0,726.55,701.65,703.0,718414,,710.9603214357278,724.965238095238,49.01535904239223,45.94785059901339,74.41423721011398,,,,20.447647526576215,6497972,,,,,0.0,1.1918755401901469,0.8283121373009016,,-54.05214940098661,718.175,,723.5804772754803,-3.7447799000479254,
2024-06-19,700.7,711.4,686.75,696.7,1340234,,709.6021955847061,721.5438095238096,46.383597921160984,18.2234432234433,49.149994115682254,,,,20.7478155603922,5157738,,,,,0.0,1.0615780553637564,0.9551817211725567,,-81.7765567765567,714.05,,722.1199191147251,-4.848402075935536,
