Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"1,48","19,85","2,17",,"3,04",Мультипликаторы
P/B,"0,28","0,47","0,31",,"0,17",Мультипликаторы
P/S,"0,81","1,34","1,5",,"0,41",Мультипликаторы
P/CF,"3,6","5,03","12,43",,"1,41",Мультипликаторы
P/FCF,"6,33","8,1","-38,44",,"2,09",Мультипликаторы
Коэффициент долга,"0,14","0,16","0,12",,"0,11",Мультипликаторы
D/E,"0,16","0,18","0,14",,"0,12",Мультипликаторы
CAPEX/Выручка,"9,72","10,14","15,93",,"9,63",Мультипликаторы
ROE,"19,21","2,39","14,4",,"5,53",Мультипликаторы
ROA,"16,56","2,02","12,64",,"4,94",Мультипликаторы
Return on Sales,"59,09","-0,42","72,18",,"10,52",Мультипликаторы
ROIC,"7,13","6,45","2,44",,"8,11",Мультипликаторы
ROCE,"19,3","-0,14","13,76",,"4,03",Мультипликаторы
Net Margin,"54,65","6,76","69,09",,"13,61",Мультипликаторы
Операционная маржа,"26,68","25,02","15,35",,"27,79",Мультипликаторы
EBITDA рентабельность,"63,38","4,1","79,97",,"14,29",Мультипликаторы
Тек. ливкидность,"3,64","3,68","7,1",,"7,97",Мультипликаторы
Выручка,1 555 959,1 570 876,1 075 222,,2 355 517,Финансовые показатели
EBITDA,986 130,64 412,859 903,,336 575,Финансовые показатели
EBIT,919 487,-  6 660,776 126,,247 756,Финансовые показатели
Процентные доходы,136 224,141 742,134 119,,182 364,Финансовые показатели
Процентные расходы,16 816,2 147,20 936,,9 554,Финансовые показатели
Чистые процентные доходы/расходы,119 408,139 595,113 183,,172 810,Финансовые показатели
Операционный доход,415 194,393 007,165 063,,654 623,Финансовые показатели
Прибыль до налогов,1 038 895,132 935,889 309,,420 566,Финансовые показатели
Чистая прибыль,850 361,106 197,742 909,,320 560,Финансовые показатели
Капитал на акционеров,4 426 056,4 449 064,5 160 070,,5 799 459,Финансовые показатели
Активы,5 135 791,5 267 896,5 875 687,,6 488 679,Финансовые показатели
CA Оборотные активы,1 354 886,1 468 990,1 659 455,,2 704 305,Финансовые показатели
Денежные средства и их эквиваленты,264 620,399 884,179 634,,138 011,Финансовые показатели
Обязательства,709 447,818 518,715 279,,688 788,Финансовые показатели
Собственный капитал,4 426 344,4 449 378,5 160 408,,5 799 891,Финансовые показатели
Капитал на акционеров,850 350,106 162,742 871,,320 493,Финансовые показатели
Внеоборотные активы,3 780 905,3 798 906,4 216 232,,3 784 374,Финансовые показатели
CFO операционные денежные потоки,350 514,419 280,129 430,,692 151,Финансовые показатели
FCF на акцию,199 223,260 065,-  41 862,,465 410,Финансовые показатели
Инвестиционный денежный поток,-  289 218,-  218 312,-  141 373,,-  657 449,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-  19 565,-  63 782,-  205 593,,-  65 079,Финансовые показатели
Текущие обязательства,372 643,398 744,233 712,,339 175,Финансовые показатели
Долгосрочные обязательства,336 804,419 774,481 567,,349 613,Финансовые показатели
Общие расходы,,,,,1 700 894,Финансовые показатели
