Показатель,value_float
"Выручка, млрд руб",2245.0
"Операционная прибыль, млрд руб",534.0
"EBITDA, млрд руб",635.6
"Чистая прибыль, млрд руб",1322.0
"Опер.денежный поток, млрд руб",595.0
"CAPEX, млрд руб",265.0
"FCF, млрд руб",622.5
"Див.выплата, млрд руб",125.0
"Дивиденд, руб/акцию",0.85
"Див доход, ао, %",3.2
"Дивиденд ап, руб/акцию",12.29
"Див доход, ап, %",22.1
"Дивиденды/прибыль, %",9.0
"Опер. расходы, млрд руб",1711.0
"Амортизация, млрд руб",101.6
"Расх на персонал, млрд руб",151.2
"Активы, млрд руб",8040.0
"Чистые активы, млрд руб",7086.0
"Долг, млрд руб",0.0
"Наличность, млрд руб",5967.0
"Чистый долг, млрд руб",-5967.0
"Цена акции ао, руб",26.9
"Число акций ао, млн",35726.0
"Цена акции ап, руб",55.7
"Число акций ап, млн",7702.0
"Капитализация, млрд руб",1390.0
"EV, млрд руб",-4577.0
"Баланс стоимость, млрд руб",7086.0
"EPS, руб",37.0
"FCF/акцию, руб",17.4
"BV/акцию, руб",198.3
"Рентаб EBITDA, %",28.3
"Чистая рентаб, %",58.9
"Доходность FCF, %",64.7
"ROE, %",18.7
"ROA, %",16.4
P/E,1.05
P/FCF,2.23
P/S,0.62
P/BV,0.2
EV/EBITDA,-7.2
Долг/EBITDA,-9.39
"Персонал, чел",113000.0
"Произв.труда, млн руб/чел/год",19.9
"Расходы/чел/год, тыс.р",1338.0
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",12.0
