Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"11,51","5,81","2,84","5,71","5,17",Мультипликаторы
P/B,"1,44","1,23","0,74","1,38","1,2",Мультипликаторы
P/S,"1,5","0,96","0,57","1,03","0,78",Мультипликаторы
P/CF,"5,95","4,31","2,26","5,03","3,72",Мультипликаторы
P/FCF,"12,45","7,78","4,11","15,95","6,32",Мультипликаторы
EV/S,"1,49","0,93","0,46","1,01","0,73",Мультипликаторы
EV/EBITDA,"6,33","3,82","1,47","3,87","3,14",Мультипликаторы
EV/EBIT,"9,22","4,67","1,78","4,54","3,61",Мультипликаторы
Коэффициент долга,"0,34","0,37","0,34","0,41","0,4",Мультипликаторы
D/E,"0,52","0,59","0,52","0,71","0,66",Мультипликаторы
CAPEX/Выручка,"13,15","9,88","11,27","14,07","8,6",Мультипликаторы
NetDebt/EBITDA,"-0,03","-0,12","-0,34","-0,1","-0,22",Мультипликаторы
Долг/EBITDA,"0,24","0,14","0,04","0,1","0,03",Мультипликаторы
ROE,"12,33","21,08","25,8","23,91","23,22",Мультипликаторы
ROA,"8,12","13,24","17,0","14,0","14,01",Мультипликаторы
Return on Sales,"16,16","19,89","25,83","22,23","20,15",Мультипликаторы
ROIC,"10,63","18,37","23,81","20,34","19,19",Мультипликаторы
ROCE,"13,23","22,19","29,24","25,72","26,57",Мультипликаторы
Net Margin,"12,89","16,5","19,96","18,01","15,22",Мультипликаторы
Операционная маржа,"17,35","20,52","28,06","22,44","19,85",Мультипликаторы
EBITDA рентабельность,"23,54","24,32","31,33","26,04","23,22",Мультипликаторы
Тек. ливкидность,"0,89","0,98","1,1","0,88","0,97",Мультипликаторы
Выручка,,795 815,1 205 267,1 427 147,1 589 082,Финансовые показатели
EBITDA,,187 304,293 179,447 120,413 822,Финансовые показатели
EBIT,,128 570,239 680,368 686,353 175,Финансовые показатели
Процентные доходы,,18 086,16 448,25 804,28 294,Финансовые показатели
Процентные расходы,,9 611,8 229,14 522,15 962,Финансовые показатели
Чистые процентные доходы/расходы,,8 475,8 219,11 282,12 332,Финансовые показатели
Операционный доход,,138 090,247 353,400 390,356 643,Финансовые показатели
Расходы на персонал,,60 066,68 246,68 584,97 632,Финансовые показатели
Прибыль до налогов,,137 045,247 899,379 968,365 507,Финансовые показатели
Чистая прибыль,,102 573,198 886,284 903,286 263,Финансовые показатели
Капитал на акционеров,,827 672,938 388,1 095 623,1 190 843,Финансовые показатели
Активы,,1 263 441,1 502 289,1 675 837,2 045 173,Финансовые показатели
CA Оборотные активы,,258 995,412 242,456 426,589 623,Финансовые показатели
Денежные средства и их эквиваленты,,40 105,66 487,167 864,84 115,Финансовые показатели
Обязательства,,431 851,558 914,571 393,848 003,Финансовые показатели
Собственный капитал,,831 590,943 375,1 104 444,1 197 170,Финансовые показатели
Капитал на акционеров,,103 490,198 412,284 572,287 921,Финансовые показатели
Внеоборотные активы,,1 004 446,1 090 047,1 219 411,1 455 550,Финансовые показатели
CFO операционные денежные потоки,,200 366,267 494,357 698,326 632,Финансовые показатели
FCF на акцию,,95 698,148 388,196 803,103 033,Финансовые показатели
Инвестиционный денежный поток,,-  100 197,-  172 638,-  117 054,-  296 908,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,-  86 681,-  68 305,-  132 014,-  121 568,Финансовые показатели
CB Текущие кредиты,,10 961,22 541,2 665,4 809,Финансовые показатели
Общий долг,,-  5 492,-  34 315,-  153 363,-  40 914,Финансовые показатели
Текущие обязательства,,291 511,422 114,415 054,671 912,Финансовые показатели
Долгосрочная аренда,11 578,10 679,10 324,2 641,20 344,Финансовые показатели
Долгосрочные кредиты,,23 652,9 631,11 836,18 048,Финансовые показатели
Долгосрочные обязательства,,140 340,136 800,156 339,176 091,Финансовые показатели
Чистый долг,,45 292,42 496,17 142,43 201,Финансовые показатели
Общие расходы,,,,176 629,200 228,Финансовые показатели
