Показатель,value_float
"Добыча нефти, млн т",28.5
"Переработка нефти, млн т",17.5
"Выручка, млрд руб",1589.0
"Операционная прибыль, млрд руб",356.6
"EBITDA, млрд руб",391.7
"Чистая прибыль, млрд руб",286.3
"Опер.денежный поток, млрд руб",326.6
"CAPEX, млрд руб",223.6
"FCF, млрд руб",103.0
"Див.выплата, млрд руб",204.4
"Дивиденд, руб/акцию",87.88
"Див доход, ао, %",12.4
"Дивиденд ап, руб/акцию",87.88
"Див доход, ап, %",12.4
"Дивиденды/прибыль, %",71.0
"Опер. расходы, млрд руб",200.2
"Себестоимость, млрд руб",1250.0
"Амортизация, млрд руб",60.7
"Расх на персонал, млрд руб",109.0
"Процентные расходы, млрд руб",2.1
"Активы, млрд руб",2045.0
"Чистые активы, млрд руб",1191.0
"Долг, млрд руб",22.9
"Наличность, млрд руб",84.1
"Чистый долг, млрд руб",-61.2
"Цена акции ао, руб",710.6
"Число акций ао, млн",2179.0
"Цена акции ап, руб",707.9
"Число акций ап, млн",147.5
"Капитализация, млрд руб",1653.0
"EV, млрд руб",1591.0
"Баланс стоимость, млрд руб",1191.0
"EPS, руб",131.4
"FCF/акцию, руб",47.3
"BV/акцию, руб",546.6
"Рентаб EBITDA, %",24.7
"Чистая рентаб, %",18.0
"Доходность FCF, %",6.7
"ROE, %",24.0
"ROA, %",14.0
P/E,5.77
P/FCF,16.0
P/S,1.04
P/BV,1.39
EV/EBITDA,4.06
Долг/EBITDA,-0.16
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",14.0
