Показатель,value_float
"BV/акцию, руб",606.8
"CAPEX, млрд руб",171.0
"CAPEX/Выручка, %",8.0
"EBITDA, млрд руб",478.4
"EPS, руб",140.5
"EV, млрд руб",1500.0
EV/EBITDA,3.13
"FCF, млрд руб",235.6
"FCF/акцию, руб",108.1
P/BV,1.21
P/E,5.24
P/FCF,6.81
P/S,0.79
"R&D/CAPEX, %",0.0
"ROA, %",13.9
"ROE, %",23.2
"Активы, млрд руб",2205.0
"Амортизация, млрд руб",62.2
"Баланс стоимость, млрд руб",1322.0
"Выручка, млрд руб",2030.0
"Див доход, ао, %",14.3
"Дивиденды/прибыль, %",75.0
"Долг, млрд руб",13.3
Долг/EBITDA,-0.22
"Доходность FCF, %",15.7
"Капитализация, млрд руб",1604.0
"Наличность, млрд руб",117.5
"Опер. расходы, млрд руб",279.4
"Опер.денежный поток, млрд руб",425.1
"Операционная прибыль, млрд руб",403.0
"Рентаб EBITDA, %",23.6
"Цена акции ао, руб",690.0
"Число акций ао, млн",2179.0
"Чистая прибыль, млрд руб",306.1
"Чистая рентаб, %",15.1
"Чистые активы, млрд руб",1322.0
"Чистый долг, млрд руб",-104.2
