Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,,,,"12,55","3,52",Мультипликаторы
P/B,,,,"0,59","0,52",Мультипликаторы
P/S,,,,"1,3","1,26",Мультипликаторы
P/CF,"0,79","2,02","3,03","-6,37","1,13",Мультипликаторы
P/FCF,"0,83","2,33","3,31","-3,74","1,34",Мультипликаторы
Коэффициент долга,,,,"0,91","0,89",Мультипликаторы
D/E,,,,"9,53","8,39",Мультипликаторы
CAPEX/Выручка,"11,12","9,15","4,73","14,42","17,61",Мультипликаторы
ROE,,,,"4,37","14,73",Мультипликаторы
ROA,,,,"0,42","1,57",Мультипликаторы
Net Margin,,,,"9,7","35,91",Мультипликаторы
Выручка,,,,,,Финансовые показатели
Процентные доходы,,,,,,Финансовые показатели
Процентные расходы,,,,,,Финансовые показатели
Чистые процентные доходы/расходы,,,,,,Финансовые показатели
Расходы на персонал,,,,,,Финансовые показатели
Прибыль до налогов,,,,,,Финансовые показатели
Чистая прибыль,,,,,,Финансовые показатели
Капитал на акционеров,,,,,,Финансовые показатели
Активы,,,,,,Финансовые показатели
Денежные средства и их эквиваленты,,,,,,Финансовые показатели
Обязательства,,,,,,Финансовые показатели
Собственный капитал,,,,,,Финансовые показатели
Капитал на акционеров,,,,,,Финансовые показатели
CFO операционные денежные потоки,,,1 433 700,475 900,369 500,Финансовые показатели
FCF на акцию,,,1 361 000,412 500,337 400,Финансовые показатели
Инвестиционный денежный поток,,,1 500,-  162 800,2 100,Финансовые показатели
CFF Денежный поток от финансовой деятельности,,,- 1 148 500,-  205 100,48 900,Финансовые показатели
Чистые комиссионные доходы,,,,,,Финансовые показатели
Общий долг,,,,-  787 800,- 1 728 900,Финансовые показатели
Долгосрочные кредиты,623 500,399 600,322 700,259 100,343 400,Финансовые показатели
Чистый долг,623 500,399 600,322 700,259 100,343 400,Финансовые показатели
