id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type
55462,2025-04-10,"❕ Движения >5% по итогам вчерашнего дня:

   `TRMK    ТМК ао       +9.64%`
   `VTBR    ВТБ ао       +8.15%`
   `SMLT    Самолет ао   +7.50%`
   `AFKS    Система ао   +7.19%`
   `FESH    ДВМП ао      +7.14%`
   `WUSH    iВУШХолднг   +6.99%`
   `MTLR    Мечел ао     +6.92%`
   `MTSS    МТС-ао       +6.90%`
   `CHMF    СевСт-ао     +6.63%`
   `OGKB    ОГК-2 ао     +6.53%`
   `MAGN    ММК          +6.41%`
   `RTKMP   Ростел -ап   +6.20%`
   `MSNG    +МосЭнерго   +6.13%`
   `RUAL    РУСАЛ ао     +6.02%`
   `SGZH    Сегежа       +5.87%`
   `NLMK    НЛМК ао      +5.85%`
   `TGKA    ТГК-1        +5.72%`
   `RAGR    Русагро      -6.11%`
   `TGKN    ТГК-14       -6.87%`
   `VSEH    ВИ.ру        -7.99%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__","['MTSS', 'VTBR', 'AFKS', 'MAGN', 'RUAL']",[],"['AFKS', 'MAGN', 'MTSS', 'RUAL', 'VTBR']",False,VTBR,ВТБ,банк,industry
55319,2025-04-08,"🍏 **Компания X5: общие факты**

**капитализация:** $10.14 млрд.*
**сектор: **Consumer Staples (потребительские товары повседневного спроса**)
**бизнес:** продуктовые магазины ""Пятерочка"", ""Перекресток"" и др.
**миссия:** ""Наша миссия — быть лучшим местом для покупок на Земле, превосходя ожидания""
**IPO:** 2018 г. (11.05.2005 г. — на LSE)

Компания занимает первое место по капитализации в [отраслевом индексе потребительских товаров и торговли](https://www.moex.com/ru/index/RTSCR/constituents). Топ 5:

1. X5: 10.14 млрд. $
2. Магнит: 5.1 млрд. $
3. Лента: 1.9 млрд. $
4. Промомед: 0.916 млрд. $
5. Аптека: 0.889 млрд. $

#в_фокусе
#FIVE
__* для сравнения: Газпром - $34.4 млрд., Сбербанк - $72 млрд., ВТБ - $4.3 млрд.__
__** Consumer Staples считается защитным сектором, т.е. таким который ведёт себя устойчиво во времена спадов, т.к. потребители не перестают покупать еду, напитки и т.д.__",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
55053,2025-04-05,"❕ Движения >5% по итогам вчерашнего дня:

   `SNGS    Сургнфгз     -6.50%`
   `SVAV    СОЛЛЕРС      -6.60%`
   `TGKA    ТГК-1        -6.66%`
   `POSI    iПозитив     -6.68%`
   `UPRO    Юнипро ао    -6.80%`
   `SVCB    Совкомбанк   -6.81%`
   `EUTR    ЕвроТранс    -7.10%`
   `T       Т-Техно ао   -7.10%`
   `VTBR    ВТБ ао       -7.21%`
   `RUAL    РУСАЛ ао     -7.25%`
   `RNFT    РуссНфт ао   -7.29%`
   `TGKN    ТГК-14       -7.34%`
   `FLOT    Совкомфлот   -7.64%`
   `WUSH    iВУШХолднг   -7.68%`
   `FESH    ДВМП ао      -8.03%`
   `MTLR    Мечел ао     -8.20%`
   `VSMO    ВСМПО-АВСМ   -8.49%`
   `ENPG    ЭН+ГРУП ао   -8.55%`
   `SMLT    Самолет ао   -8.90%`
   `MTLRP   Мечел ап     -8.97%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__","['VTBR', 'RUAL']",[],"['RUAL', 'VTBR']",False,VTBR,ВТБ,банк,industry
55044,2025-04-04,"Предприниматели*:

— В здоровых отношениях с бизнесом нет места для «ленивых» денег. Это явный ред-флаг. Чтобы они наконец-то заработали, просто оформите [депозит для бизнеса](https://www.vtb.ru/malyj-biznes/razmeshchenie-sredstv-v-depozitah/?utm_source=tg&utm_medium=post&utm_campaign=post_depositsrk1_redflags_tg_headlines_for_traders_int&erid=2VtzqvdpM29). С ВТБ свободные средства можно разместить на гибких условиях и по очень привлекательной ставке.

__* Клиенты ВТБ, которые уже состоят в здоровых отношениях с бизнесом.__",['VTBR'],[],['VTBR'],True,VTBR,ВТБ,банк,industry
54602,2025-03-29,"❕ Движения >5% по итогам вчерашнего дня:

   `UGLD    ЮГК          +5.19%`
   `AFLT    Аэрофлот     -5.34%`
   `VTBR    ВТБ ао       -5.42%`
   `WUSH    iВУШХолднг   -5.58%`
   `SGZH    Сегежа       -5.75%`
   `GAZP    ГАЗПРОМ ао   -6.33%`
   `RNFT    РуссНфт ао   -7.07%`
   `SMLT    Самолет ао   -7.52%`
   `RAGR    Русагро      -8.50%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
54573,2025-03-28,"ВТБ заработал на ценных бумагах ₽136.5 млрд. ($1.62 млрд.) на фоне «геополитического позитива» 

[forbes.ru](https://www.forbes.ru/finansy/533630-vtb-zarabotal-na-cennyh-bumagah-136-5-mlrd-rublej-na-fone-geopoliticeskogo-pozitiva?utm_source=forbes&utm_campaign=interesting-today)",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
54570,2025-03-28,"Аналитики «ВТБ Мои Инвестиции» исключили бумаги «Русагро» из топ-10 акций

[quote.rbc.ru](https://www.rbc.ru/quote/news/article/67e65b849a79470447a5289a)",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
54503,2025-03-27,"**Дмитрий Пьянов, зампред ВТБ:**

Удав проглотил слона — российские банки перестали «доплачивать» за дорогие депозиты ради поддержания нормативов ЦБ по ликвидности.

[rbc.ru](https://www.rbc.ru/rbcfreenews/67e4f9749a7947a5beda06f3)",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
54487,2025-03-27,"ВТБ подал к структурам JPMorgan новый иск на €108.63 млн.

[tass.ru](https://tass.ru/ekonomika/23515241)",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
54402,2025-03-25,"ВТБ снизил минимальный первоначальный взнос по рыночной ипотеке для зарплатных клиентов банка до 20% с 30%, а для остальных заемщиков - до 30% с 50%.

[ria.ru](https://ria.ru/20250325/vtb-2007095577.html)",['VTBR'],[],['VTBR'],False,VTBR,ВТБ,банк,industry
