Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Есть льгота?
Первое кол.бюро НАО 001Р-01,RU000A1020S0,101.79,113246,12.54,22.26,True
ЛЕГЕНДА БО 001P-02,RU000A101GW3,100.45,69889,11.09,18.43,True
Первое кол.бюро НАО БО-01,RU000A0JWWG0,101.92,69406,12.27,6.53,False
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,100.08,55490,10.44,24.66,True
ГК Пионер БО 001P-04,RU000A1016F5,100.39,51945,10.67,26.36,True
ФПК Гарант-Инвест БО 001P-06,RU000A1016U4,100.0,41216,11.79,22.6,True
Татнефтехим 01,RU000A102BD2,101.23,29853,11.37,10.33,True
Калужская сбытовая комп 1P 01,RU000A0ZZYL5,101.09,19567,12.56,12.23,True
Лизинг-Трейд 001P-01,RU000A101CB6,100.92,19108,12.68,18.66,True
Обувь России 001P-03,RU000A1021B4,101.95,17371,11.33,33.79,True
