Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Есть льгота?
Акрон (ПАО) об. сер. 05,RU000A0JRHG1,100.8,57289,5.74,11.83,False
Евразийский банк развития 08,RU000A0JS900,100.91,100003,5.57,4.59,False
Удмуртская респ. 2013 обл.,RU000A0JU740,100.71,23974,5.5,4.4,False
АО ЛК Европлан БО-02,RU000A0JVQT7,100.55,1030020,8.33,14.33,False
ТрансФин-М ПАО 001P-04,RU000A0ZYEB1,100.0,195026,10.73,5.09,True
РСГ-Финанс ООО обл. БО-04,RU000A0ZYLB6,100.34,18939,10.3,6.66,True
КарМани БО-1-2,RU000A0ZZ1F6,100.88,18002,13.85,4.96,True
ЛЕГЕНДА БО 001P-01,RU000A0ZZCV0,100.05,50106,14.57,7.96,True
СК Легион ООО БО-01,RU000A0ZZNV7,100.2,72639,13.04,4.53,True
Кредит Европа Банк АО 001Р-02,RU000A0ZZXP8,100.3,15111,6.68,6.46,True
ЧЗПСН-Профнастил ПАО БО-П01,RU000A100DF7,100.39,18509,14.12,13.93,True
Банк ВТБ (ПАО) Б-1-38,RU000A100Y01,100.5,25083,5.67,4.9,True
Банк ВТБ (ПАО) Б-1-41,RU000A1012L2,100.34,34363,5.86,5.96,True
Банк ВТБ (ПАО) Б-1-49,RU000A101C22,100.18,39327,5.7,7.9,True
Банк ВТБ (ПАО) Б-1-50,RU000A101FV7,100.1,30579,5.64,8.93,True
Онлайн Микрофинанс БО-02,RU000A101JF2,100.0,36532,12.34,9.36,True
Банк ВТБ (ПАО) Б-1-62,RU000A101JT3,100.34,62601,5.7,10.03,True
Банк ВТБ (ПАО) Б-1-63,RU000A101M53,100.15,30319,5.75,11.13,True
РН БАНК АО об. 01,RU000A0JWMJ5,99.65,100098,6.88,13.2,False
Совкомбанк ПАО обл. БО-05,RU000A0ZYJR6,100.91,18601,6.83,11.93,True
