Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
Сбербанк ПАО 001Р-SBER18,RU000A102FR3,93.26,155905,16.24,8.1,––-––-––-––-––-06-––-––-––-––-––--12
Банк ВТБ (ПАО) Б-1-251,RU000A103YS0,94.41,117545,20.01,6.76,––-––-––-––-05-––-––-08-––-10-––-––
Сбербанк ПАО БО 001Р-06R,RU000A0ZZ117,91.34,105303,15.62,12.96,––-––-––-––-05-––-––-––-––-––-11-––
ГПБ (АО) БО 001Р-05Р,RU000A1002E8,96.39,101343,15.05,9.76,01-––-––-––-––-––-07-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-252,RU000A1046G0,94.62,83132,18.51,7.93,––-––-––-––-––-06-––-––-09-––-––--12
Банк ВТБ (ПАО) Б-1-253,RU000A104C60,94.0,72980,19.24,8.63,––-––-––-––-––-06-––-––-09-––-––--12
Сегежа Групп 001P-01R,RU000A101D13,93.6,72388,17.76,9.66,01-––-––-––-––-––-07-––-––-––-––-––
Газпром нефть ПАО 001P-03R,RU000A0ZYDS7,96.2,71210,15.03,6.26,––-––-––-04-––-––-––-––-––-10-––-––
Сбербанк ПАО БО 001P-16R,RU000A0ZZE20,94.59,65845,15.79,9.36,01-––-––-––-––-––-07-––-––-––-––-––
ГК Пионер БО 001P-04,RU000A1016F5,87.59,61464,27.67,11.96,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П08,RU000A101H43,93.05,60266,21.08,10.63,––-02-––-––-––-––-––-08-––-––-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,90.61,54927,19.36,11.6,––-––-03-––-––-06-––-––-09-––-––--12
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,93.89,52384,17.62,11.86,––-––-––-04-––-––-––-––-––-––-––-––
Брусника 001P-01,RU000A101HU5,93.48,49776,26.98,6.4,––-––-03-––-––-06-––-––-09-––-––--12
ГК Самолет БО-П07,RU000A100YG1,96.5,47322,20.98,6.3,––-––-––-04-––-––-07-––-––-10-––-––
АБЗ-1 001Р-01,RU000A102LW1,84.56,39020,31.91,12.3,––-––-03-––-––-06-––-––-09-––-––--12
МегаФон ПАО БО-001P-03,RU000A0ZYC98,95.9,38363,17.32,6.03,––-––-––-––-––-––-––-––-––-10-––-––
ПР-Лизинг ООО БО 002Р-01,RU000A1022E6,87.52,36742,28.35,10.0,––-––-––-04-––-––-––-––-––-––-––-––
ЛЕГЕНДА БО 001P-02,RU000A101GW3,92.29,34825,28.88,6.56,––-––-03-––-––-06-––-––-09-––-––--12
ДОМОДЕДОВО ФьюэлФ 001Р-01,RU000A0ZYM21,88.93,32591,28.34,8.36,––-––-––-––-––-06-––-––-––-––-––--12
Хакасия 2016 об.35006,RU000A0JWXQ7,95.92,28575,16.35,12.7,––-––-––-––-––-––-––-––-––-––-––-––
Россельхозбанк АО БО-06Р,RU000A0ZZPZ3,96.24,27291,16.75,6.13,––-––-––-04-––-––-––-––-––-10-––-––
Республика Карелия 35018,RU000A0ZYCZ4,93.01,22519,16.04,12.73,––-––-––-––-05-––-––-08-––-––-11-––
АО ЭР-Телеком Холдинг ПБО-04,RU000A1029P7,93.4,21326,23.77,6.43,––-––-––-04-––-––-07-––-––-10-––-––
ВЭБ.РФ ПБО-001Р-К106,RU000A102UU6,95.0,21163,16.35,6.86,––-––-––-––-––-––-––-––-––-10-––-––
Банк ВТБ (ПАО) Б-1-130,RU000A104KG2,94.11,20887,15.4,10.26,01-02-––-04-05-06-07-08-09-10-11--12
ВЭБ.РФ ПБО-001Р-К105,RU000A102UY8,96.5,20396,19.63,6.53,––-––-––-––-––-––-––-––-––-10-––-––
РОСНАНО АО обл. 07,RU000A0JW1G7,95.52,18731,21.69,8.13,––-––-––-––-––-06-––-––-––-––-––--12
Ямало-Ненецкий АО об 2016,RU000A0JX0Z8,94.8,15773,15.51,11.33,––-––-––-––-––-––-––-––-––-––-––-––
Мобильные ТелеСистемы 001P-03,RU000A0ZYFC6,95.69,15575,16.35,6.83,––-––-––-––-05-––-––-––-––-––-11-––
Ненецкий авт.округ 2017,RU000A0ZYF61,93.25,14430,15.93,11.56,––-––-––-––-05-––-––-08-––-––-11-––
Совкомбанк Лизинг БО-П02,RU000A101XE6,89.47,14170,27.98,8.03,01-––-––-04-––-––-07-––-––-10-––-––
Первое кол.бюро НАО 001Р-01,RU000A1020S0,92.4,13785,27.2,8.03,––-02-––-––-05-––-––-08-––-––-11-––
ПАО НК Роснефть обл.05,RU000A0JT965,96.79,12716,15.38,6.26,––-––-––-04-––-––-––-––-––-10-––-––
Позитив Текнолоджиз 001Р-01,RU000A101YV8,97.29,12143,17.09,10.6,01-––-––-04-––-––-07-––-––-10-––-––
Магнит ПАО БО-002Р-01,RU000A101HJ8,93.01,10984,15.47,10.83,––-––-03-––-––-––-––-––-09-––-––-––
АО им. Т.Г. Шевченко 001P-01,RU000A100YP2,95.38,10724,24.72,6.3,––-––-––-04-––-––-07-––-––-10-––-––
Вита Лайн БО-01,RU000A101DU4,91.26,10017,22.06,9.63,––-02-––-––-05-––-––-08-––-––-11-––
