Полное наименование,Код ценной бумаги,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26215 16/08/23,SU26215RMFS2,99.7,1035275,7.48,11.86,––-02-––-––-––-––-––-08-––-––-––-––
ГК Самолет БО-П08,RU000A101H43,99.54,354431,12.26,6.1,––-02-––-––-––-––-––-08-––-––-––-––
Сбербанк ПАО 001Р-SBER32,RU000A103G75,99.29,305775,8.4,11.46,––-02-––-––-––-––-––-08-––-––-––-––
ФПК Гарант-Инвест БО 001P-05,RU000A1005T9,92.95,138180,22.37,10.9,01-––-––-04-––-––-07-––-––-10-––-––
ПИК-Корпорация 001Р-03,RU000A1026C1,98.18,132618,10.76,7.23,––-––-03-––-––-––-––-––-09-––-––--12
ГосТранспортЛизингКомп 001P-04,RU000A0JXPG2,99.94,112649,9.75,7.86,––-––-––-––-––-––-––-––-––-––-––-––
АБЗ-1 001Р-01,RU000A102LW1,97.41,66494,17.14,8.33,––-––-03-––-––-06-––-––-09-––-––--12
Сбербанк ПАО БО 001Р-06R,RU000A0ZZ117,99.54,66413,8.22,8.9,––-––-––-––-05-––-––-––-––-––-11-––
ГК Пионер БО 001P-04,RU000A1016F5,95.65,64396,18.71,7.86,––-––-03-––-––-06-––-––-09-––-––--12
ГруппаЧеркизово БО-001Р-02,RU000A1013Y3,99.2,56172,8.56,8.96,––-02-––-––-05-––-––-08-––-––-11-––
Сбербанк ПАО 001Р-SBER22,RU000A102RQ0,99.04,52405,8.29,9.93,––-––-––-––-––-06-––-––-––-––-––--12
ПИК-Корпорация 001Р-04,RU000A103C46,98.66,51370,10.16,10.13,––-––-03-––-––-06-––-––-09-––-––--12
РЕСО-Лизинг ООО БО-П-06,RU000A100PE4,98.62,51162,10.95,11.3,01-––-––-––-––-––-––-08-––-––-––-––
СофтЛайн Трейд 001P-04,RU000A1029T9,98.2,46183,11.9,12.53,––-––-03-––-––-06-––-––-09-––-––--12
Первое кол.бюро НАО 001Р-01,RU000A1020S0,100.35,36389,13.05,7.1,––-02-––-––-05-––-––-08-––-––-11-––
ГПБ (АО) БО 001Р-13Р,RU000A100VR4,99.1,35936,8.33,12.9,––-––-03-––-––-––-––-––-09-––-––-––
МТС-Банк ПАО 001P-01,RU000A1034T9,98.98,32099,9.25,9.03,––-––-––-––-05-––-––-––-––-––-11-––
Ритейл Бел Финанс 01,RU000A100JH0,99.07,31789,12.47,12.66,01-––-––-04-––-––-07-––-––-10-––-––
Банк ВТБ (ПАО) Б-1-311,RU000A104ZQ9,100.14,31589,7.76,11.0,01-02-03-04-05-06-07-08-09-10-11--12
Магнит ПАО БО-002Р-01,RU000A101HJ8,99.04,27411,8.18,6.3,––-––-03-––-––-––-––-––-09-––-––-––
АПРИ Флай Плэнинг АО БО-П04,RU000A102KR3,93.0,19336,22.82,10.83,––-––-03-––-––-06-––-––-09-––-––--12
КарМани БО-1-2,RU000A0ZZ1F6,103.98,13920,15.13,8.23,––-––-––-––-––-––-––-––-––-––-––-––
