Полное наименование,Код ценной бумаги,Нужна квалификация?,"Цена, %","Объем сделок за n дней, шт.",Доходность,"Дюрация, месяцев",Месяцы выплат
ОФЗ-ПД 26234 16/07/2025,SU26234RMFS3,нет,90.651,6030457,22.54,7.3,01-––-––-––-––-––-07-––-––-––-––-––
ОФЗ-ПД 26229 12/11/25,SU26229RMFS3,нет,88.4,2015026,22.44,11.16,––-––-––-––-05-––-––-––-––-––-11-––
Ростелеком ПАО 001P-13R,RU000A10A3R1,нет,100.3,1642708,24.57,10.33,01-02-03-04-05-06-07-08-09-10-11--12
Республика Беларусь 07,RU000A100D89,нет,94.9,382110,23.62,4.9,––-––-––-––-05-––-––-––-––-––-––-––
Сбербанк ПАО 002Р-SBER44,RU000A1069P3,нет,85.64,371393,22.2,17.06,––-––-––-––-05-––-––-––-––-––-11-––
ГК Самолет БО-П12,RU000A104YT6,нет,90.27,272071,35.35,6.96,01-––-––-04-––-––-07-––-––-––-––-––
Банк ВТБ (ПАО) Б-1-343,RU000A106TM6,да,98.97,226685,24.03,17.83,01-02-03-04-05-06-07-08-09-10-11--12
ХКФ Банк ООО БО-04,RU000A103760,нет,81.1,199835,25.33,17.1,––-––-03-––-––-06-––-––-09-––-––--12
ГруппаЧеркизово БО-001Р-05,RU000A105C28,нет,87.59,176198,28.36,10.26,01-––-––-04-––-––-07-––-––-10-––-––
КАМАЗ ПАО БО-П11,RU000A107MM9,нет,91.83,92229,24.5,12.66,01-––-––-04-––-––-07-––-––-10-––-––
Каршеринг Руссия 001P-02,RU000A106A86,нет,80.0,88918,33.71,16.23,––-02-––-––-05-––-––-08-––-––-11-––
ЭР-Телеком Холдинг ПБО-02-05,RU000A107BZ4,нет,97.65,88883,28.76,3.03,––-––-03-––-––-––-––-––-––-––-––--12
ВУШ БО 001P-01,RU000A104WS2,нет,93.7,79452,28.46,6.43,––-––-03-––-––-06-––-––-––-––-––--12
ГТЛК БО 001P-15,RU000A100Z91,нет,86.43,76743,27.12,10.3,01-––-––-04-––-––-07-––-––-10-––-––
ВТБ Лизинг 001Р-МБ-02,RU000A109X45,нет,100.2,76625,23.44,9.83,01-02-03-04-05-06-07-08-09-10-––--12
МегаФон ПАО БО-002P-03,RU000A1065S5,нет,95.72,74895,21.59,4.56,01-––-––-04-––-––-––-––-––-––-––-––
Интерлизинг 001Р-07,RU000A1077X0,нет,87.98,74496,36.26,9.93,01-02-03-04-05-06-07-08-09-10-11--12
Банк ВТБ (ПАО) Б-1-364,RU000A109ZK1,нет,100.09,72992,22.54,10.13,01-––-––-––-05-––-––-08-––-10-––-––
ЕвроТранс БО-001Р-02,RU000A105TS5,нет,85.13,68081,33.31,12.76,01-02-03-04-05-06-07-08-09-10-11--12
ПАО ТГК-14 001Р-01,RU000A1066J2,нет,85.56,67020,29.61,15.43,01-––-––-04-05-––-07-––-––-10-––-––
ЯТЭК 001Р-02,RU000A102ZH2,нет,95.25,65858,25.92,4.09,––-––-––-04-––-––-––-––-––-––-––-––
Селектел 001P-04R,RU000A1089J4,нет,90.0,61370,26.7,14.43,01-02-03-04-05-06-07-08-09-10-11--12
Интерлизинг 001Р-06,RU000A106SF2,нет,82.9,58995,37.99,12.03,––-02-––-––-05-––-––-08-––-––-11-––
ВУШ БО 001P-02,RU000A106HB4,нет,80.11,55816,29.96,17.13,01-––-––-04-––-––-07-––-––-10-––-––
Группа ЛСР ПАО БО 001Р-08,RU000A106888,нет,80.0,52803,33.85,15.93,––-02-––-––-05-––-––-08-––-––-11-––
Банк ВТБ (ПАО) Б-1-363,RU000A109ZJ3,нет,100.11,50615,22.56,4.76,01-––-––-––-05-––-––-––-––-––-––-––
ЕвроТранс БО-001Р-01,RU000A105PP9,нет,89.81,48527,28.01,11.5,01-02-03-04-05-06-07-08-09-10-11--12
Группа ЛСР ПАО БО 001Р-07,RU000A103PX8,нет,76.74,48259,36.03,13.6,––-––-03-––-––-06-––-––-09-––-––--12
АБЗ-1 001P-05,RU000A1070X5,нет,80.85,47416,39.11,12.8,01-02-03-04-05-06-07-08-09-10-11--12
АЛЬФА-БАНК Б2Р22,RU000A106268,нет,96.15,44778,23.01,4.09,––-––-––-04-––-––-––-––-––-––-––-––
