id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type
69746,2025-04-10 14:50:14+00:00,"**👍**** Что было сегодня**

**🇷🇺**** Потребление газа в РФ в апреле **[**обновляе**](https://t.me/cbrstocks/69715)**т максимум на фоне поздних холодов** — Газпром

🇪🇺 **Импорт СПГ Европой в апреле **[**опережает**](https://t.me/cbrstocks/69716)** рекордные показатели марта** — ТАСС

**🛢**** Лукойл **[**обсудил**](https://t.me/cbrstocks/69719)** с главой правительства Ирака планы увеличения добычи по проектам** — Интерфакс

🇺🇸🇨🇳 **Потоки нефти из США в Китай **[**упали**](https://t.me/cbrstocks/69722)** почти до нуля после введения пошлин **— Bloomberg

🖨 **Новабев: **[**Операционные результаты**](https://t.me/cbrstocks/69723)** за 1к2025г**
Отгрузки алкогольной продукции — 3.2 млн декалитров (-4.65% г/г)

🇺🇸🇺🇦 **Технические консультации между Украиной и США по соглашению о полезных ископаемых **[**начнутся **](https://t.me/cbrstocks/69724)**в Вашингтоне 11 апреля** — вице-премьер Украины

**🏠**** Крупнейший акционер группы ПИК **[**распродает**](https://t.me/cbrstocks/69726)** свои акции** — Ведомости

🇷🇺 **Рoссия никoгдa **[**не oткaжется**](https://t.me/cbrstocks/69729)** oт свoих прaв нa зaмoрoженные нa Зaпaде aктивы и не перестaнет их зaщищaть** — Пресс-секретарь президента РФ Песков

🇪🇺🇺🇸 **ЕС **[**зaмoрaживaет**](https://t.me/cbrstocks/69730)** тaрифы прoтив США нa 90 дней** — глава Еврокомиссии Урсула фон дер Ляйен

**🇺🇦**** Выборов летом **[**не будет**](https://t.me/cbrstocks/69732)**. К ним не ведется подготовка. Во-первых, нам нужно положить конец войне** — глава администрации Зеленского Ермак

🇺🇸 **Объем торгов акциями США вчера **[**достиг**](https://t.me/cbrstocks/69735)** 30 миллиардов акций** — исторический максимум

**💰 СД Татнефти **[**рекомендовал**](https://t.me/cbrstocks/69737)** дивиденды за 4кв2024. — 43.11 руб./а**

**💰 СД Делимобиль**[** рекомендовал**](https://t.me/cbrstocks/69742)** не выплачивать дивиденды за 2024г.**

🇷🇺🇺🇸**Кoнсультaции РФ и США в Стaмбуле **[**прoшли**](https://t.me/cbrstocks/69743)** в кoнструктивнoм ключе, стoрoны oбсудили вoзмoжнoсть скoрoгo нoвoгo кoнтaктa** — Гoсдепартамент

🇷🇺 **Экспорт из РФ за январь-февраль**[** снизился**](https://t.me/cbrstocks/69744)** на 0.2%, до $60.1 млрд, импорт сократился на 1.4%, до $41.2 млрд** — ФТС

🇷🇺🇱🇰** РФ и Шри-Лaнкa **[**ведут**](https://t.me/cbrstocks/69745)** перегoвoры oб увеличении пoстaвoк энергoресурсoв республике** —  Минэнерго РФ","['LKOH', 'NVTK']",[],"['LKOH', 'NVTK']",False,LKOH,Лукойл,нефть,industry
69719,2025-04-10 07:46:00+00:00,"#LKOH
Лукойл** **обсудил с главой правительства Ирака планы увеличения добычи по проектам — Интерфакс",['LKOH'],['LKOH'],[],False,LKOH,Лукойл,нефть,company_specific
69396,2025-04-02 11:38:26+00:00,"⚡️**Путин разрешил ""Балчуг Капиталу"" купить у Goldman Sachs и затем продать акции ряда российских публичных компаний** — распоряжение

#GAZP #ROCN #SNGS #IRAO #RTKM #NVTK #NLMK #TATN #LKOH","['SNGS', 'TATN', 'NVTK', 'LKOH']","['SNGS', 'NVTK', 'TATN', 'LKOH']",[],True,LKOH,Лукойл,нефть,company_specific
69104,2025-03-25 12:17:02+00:00,"#LKOH [ЛУКОЙЛ](https://www.tinkoff.ru/invest/stocks/LKOH?utm_source=security_share)
💰 **Решения СД**

Текущая цена: 7204.0 ₽

1.1. Выплатить **дивиденды** по обыкновенным акциям ПАО «ЛУКОЙЛ» по результатам 2024 года в размере 541 рубль на одну обыкновенную акцию. 

1.2. Выплату **дивидендов** в размере 541 рубль на одну обыкновенную акцию осуществить со счета ПАО «ЛУКОЙЛ» денежными средствами номинальным держателям и являющимся профессиональными участниками рынка ценных бумаг доверительным управляющим, которые зарегистрированы в реестре акционеров ПАО «ЛУКОЙЛ», в срок не позднее 18 июня 2025 г., другим зарегистрированным в реестре акционеров ПАО «ЛУКОЙЛ» лицам - не позднее 9 июля 2025 г. Затраты на перечисление **дивидендов** любым способом осуществить за счёт ПАО «ЛУКОЙЛ».

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=AzRp2EiDHEWLkZlSiDxWLQ-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['LKOH'],['LKOH'],[],False,LKOH,Лукойл,нефть,company_specific
69085,2025-03-24 16:04:01+00:00,"**Лукойл отчитался за 2П 20204 года. По расчетам источника РДВ, дивиденд за 2П 2024 года согласно дивидендной политике может составить 573 руб. на акцию или 7.9% от текущей цены.**

Кэша на балансе 1.4 трлн руб. или 2 058 руб. на одну акцию = 28% от текущей цены акции.

#шок_новости #аналитика

😀 @AK47pfl",['LKOH'],[],['LKOH'],False,LKOH,Лукойл,нефть,industry
69084,2025-03-24 16:01:06+00:00,"#LKOH [ЛУКОЙЛ](https://www.tinkoff.ru/invest/stocks/LKOH?utm_source=security_share)
💰 **Проведение заседания СД и его повестка дня**

Текущая цена: 7270.0 ₽

2.2. Дата проведения заседания Совета директоров ПАО «ЛУКОЙЛ»: 24 марта 2025 года

2.3. Повестка СД ПАО «ЛУКОЙЛ»:
I. Об утверждении Отчета о заключенных ПАО «ЛУКОЙЛ» в 2024 году сделках, в совершении которых имеется заинтересованность 
II. О рекомендациях по размеру **дивидендов** по акциям ПАО «ЛУКОЙЛ» по результатам 2024 года и порядку их выплаты
III. О предварительном утверждении Годового отчета ПАО «ЛУКОЙЛ» за 2024 год для представления его годовому заседанию Общего собрания акционеров Компании
IV. О подготовке к проведению годового заседания Общего собрания акционеров ПАО «ЛУКОЙЛ»
V. О проведении повторного годового заседания Общего собрания акционеров ПАО «ЛУКОЙЛ»
VI. Об одобрении сделки ПАО «ЛУКОЙЛ» в соответствии с подпунктом 9.7.18 пункта 9.7 Устава ПАО «ЛУКОЙЛ»
VII. О программе акционирования на основе инструментов коллективного инвестирования для ключевых работников Группы «ЛУКОЙЛ»
VIII. Об утверждении Стратегии внутреннего аудита в ПАО «ЛУКОЙЛ» на 2025-2029 годы 
IX. О внесении изменения в основные условия договора с Главным исполнительным директором ПАО «ЛУКОЙЛ»

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=Qm32c5AniEio3ysKoZ-AoqA-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['LKOH'],['LKOH'],[],False,LKOH,Лукойл,нефть,company_specific
69081,2025-03-24 15:34:08+00:00,"#LKOH #Отчетность
**🖨**** Лукойл: МСФО 2024**

Выручка: 8.621 трлн руб (+8.7% г/г)
Чистая прибыль: 851.5 млрд руб (-26% г/г)",['LKOH'],['LKOH'],[],True,LKOH,Лукойл,нефть,company_specific
68307,2025-02-17 13:43:42+00:00,"**В 2025 году экономику России ждут мир, дефляционные тенденции, смягчение ДКП и риски для экспорта углеводородов. Фреймворк на 2025 год от главного стратега клуба RDV PREMIUM 361°. **#аналитика

**Вводные параметры:**
✍️**Мир:** Путин и Трамп прямо говорят, что хотят мир. Возможно, бюрократы с обеих сторон (особенно в ЕС) и большое число вопросов в повестке затянут переговоры. Но тренд понятен.
✍️**Санкции: сохранить нельзя ослабить:**
- Трамп прямо говорит, что хочет использования долларов в международных расчетах — значит, не попавшей под санкции части экономики РФ вернут нормальный доступ к международным расчетам (к SWIFT, счетам в международных банках, платежным системам Visa и Master Card). И это может произойти в ближайшие пару месяцев.
- Санкции в основном сохранятся. По крайней мере, пока так кажется.
✍️Слабое место РФ — это по-прежнему цены на углеводороды и объемы их экспорта. И Трамп будет на эти рычаги давить, если потребуются дополнительные аргументы в переговорах. Да и США хотят [доминировать](https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-establishes-the-national-energy-dominance-council/) на важных для РФ рынках нефти и газа.

**Последствия для экономики РФ:**
✍️**Вместо высокой инфляции будет дефляционный шок, возврат к исторически средним ставкам (~10%).**
Мир, сокращение транзакционных издержек во внешней торговле, возврат западных компаний на рынок РФ, нормализация гос. расходов на оборону будут иметь дефляционный эффект на экономику РФ. ДКП будет смягчаться и быстро.
✍️**Курс рубля не крепче текущих уровней.**
Большого апсайда в сторону укрепления нет. А долгосрочные факторы слабости есть:
- Сокращение роли углеводородов в мире и вытеснение РФ с этого рынка американцами;
- Хронический отток капитала (что сделаем все мы, когда нам разрешат снова открывать счета в зарубежных банках и брокерах? Возить немецкие авто?);
- Неопределенность с замороженными активами нерезидентов на счетах типа С.

**Что включить в портфель? Где есть апсайд 30%+?**
✍️Длинные ОФЗ (26243 и др.).
✍️Компании роста из-за чувствительности оценок их акций к уровню процентных ставок — Яндекс (YDEX), Т-Банк (T).
✍️Компании, чей бизнес выиграет от снижения ставки — Hyper (HYPR).
✍️Экспортеры, не подпадающие под санкции — Татнефть ([TATN](https://neo.putinomics.ru/dashboard/TATN/MOEX)), Лукойл ([LKOH](https://neo.putinomics.ru/dashboard/LKOH/MOEX)).

Подключить доступ к аналитике: @RDVPREMIUMbot","['AFKS', 'TATN', 'LKOH']",[],"['AFKS', 'LKOH', 'TATN']",False,LKOH,Лукойл,нефть,industry
67879,2025-01-31 05:52:19+00:00,"#LKOH
**Премьер Болгарии сообщил о семи претендентах на покупку ЛУКОЙЛ Нефтохим Бургас** — РБК

Болгарии нет среди претендентов на покупку «ЛУКОЙЛ Нефтохим Бургас», уточнил Желязков. Покупку НПЗ обсуждали «КазМунайГаз» и венгерская MOL.

**Лукойл запросил около $2 млрд,** сообщил премьер. Ожидается, что переговорный процесс возобновится в начале февраля.",['LKOH'],['LKOH'],[],False,LKOH,Лукойл,нефть,company_specific
67509,2025-01-14 11:59:30+00:00,"#LKOH
ГЛАВОЙ ЛУКОЙЛА ВМЕСТО ВОРОБЬЕВА СТАНЕТ СЕРГЕЙ КОЧКУРОВ - РАСКРЫТИЕ


[LKOH](https://www.tinkoff.ru/invest/stocks/LKOH?utm_source=security_share) 7043.5₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['LKOH'],['LKOH'],[],False,LKOH,Лукойл,нефть,company_specific
