id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type
69233,2025-03-28 11:32:45+00:00,"**Газпром (**[**GAZP**](https://neo.putinomics.ru/dashboard/GAZP/MOEX)**) — роковые перемены. Впереди: повышение внутренних цен на газ и фокус на внутреннем рынке газа и электроэнергии.** #аналитика 

На днях [Financial Times](https://www.ft.com/content/5da44f55-d28a-4965-b7a5-bf014d685036) написали статью о стартующих в Газпроме реформах.

**Вызов перед Газпромом:**
В этом году общие поставки в Европу и Турцию, как ожидается, сократятся более чем в пять раз по сравнению с уровнем 2019 года, снизившись до 47 млрд м3, а к 2034 году — до 34 млрд м3. **Денежный поток останется отрицательным, составив дефицит в 15 трлн руб. за период с 2025 по 2034 годы, согласно 42-страничной презентации Газпрома, подготовленной в прошлом году** и с которой ознакомилась FT.

**Что может измениться?**
✍️ Газпром хочет **объединить разрозненные подразделения Газпрома в «единую, вертикально интегрированную компанию»**. Это подразумевает в т.ч. усиление контроля над Газпром нефтью.
✍️ Компания также выступает за **повышение внутренних цен на газ**, утверждая, что действующий контроль над тарифами не обеспечивает достаточных средств для инвестиций в инфраструктуру.
✍️ В рамках реформ бизнес-модель Газпрома будет сосредоточена на **внутреннем рынке, предлагая всё — от газа и электроэнергии до финансовых услуг.**
✍️ Будет сокращать расходы и консолидировать поддерживающие функции в центральный хаб.


**Реакция отраслевых СМИ и TG на статью **[**FT**](https://www.ft.com/content/5da44f55-d28a-4965-b7a5-bf014d685036)** про реструктуризацию Газпрома:**
✍️ Все больше факторов на мировом и российском рынках толкают Газпром к изменению стратегии и трансформации газового холдинга во что-то новое. При этом время стремительно уходит и действовать нужно уже сейчас. https://telegra.ph/Na-Gazprom-nadvigaetsya-veter-peremen-03-27
✍️ Газпром ведет подготовку к масштабной реорганизации. Бизнес-модель компании должна была быть ориентирована на внутренний рынок, предлагая широкую номенклатуру услуг - от газа до электроэнергии и финансовых услуг. https://neftegaz.ru/news/companies/884493-gazprom-vedet-podgotovku-k-masshtabnoy-reorganizatsii-stali-izvestny-novye-podrobnosti/
✍️ Некоторые тезисы статьи в FT бьются со слухами о консолидации газораспределительной инфраструктуры. https://t.me/natgas69/671

👉 Ранее в РДВ: 
**Газовая отрасль - роковые перемены.** Из-за падения экспорта газа в ЕС на 80% бизнес модель Газпрома и всей отрасли больше не работает. https://t.me/AK47pfl/18565

[Аналитика](https://t.me/AK47pfl/19621) by 😀 @AK47pfl",['SIBN'],[],['SIBN'],True,SIBN,Газпром нефть,нефть,industry
68949,2025-03-17 16:45:46+00:00,"#GAZP #SIBN
УБЫТОК ГОЛОВНОЙ КОМПАНИИ СФОРМИРОВАН ГЛАВНЫМ ОБРАЗОМ СНИЖЕНИЕМ РЫНОЧНОЙ СТОИМОСТИ АКЦИЙ ПАО ""ГАЗПРОМ НЕФТЬ"" - КОМПАНИЯ


[GAZP](https://www.tinkoff.ru/invest/stocks/GAZP?utm_source=security_share) 173.1₽
[SIBN](https://www.tinkoff.ru/invest/stocks/SIBN?utm_source=security_share) 623.85₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68532,2025-02-26 13:59:25+00:00,"#GAZP #SIBN
Газпром Нефть передала Газпрому 5.15% акций сербской нефтяной компании NIS",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68453,2025-02-21 16:37:28+00:00,"#GAZP #SIBN
СД ""ГАЗПРОМ НЕФТИ"" 25 ФЕВРАЛЯ СОЗОВЕТ ВНЕОЧЕРЕДНОЕ СОБРАНИЕ - ЭМИТЕНТ


[GAZP](https://www.tinkoff.ru/invest/stocks/GAZP?utm_source=security_share) 170.44₽
[SIBN](https://www.tinkoff.ru/invest/stocks/SIBN?utm_source=security_share) 653.85₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68280,2025-02-14 15:26:35+00:00,"#Дивиденды #SIBN #Прогноз
**Возможный финальный дивиденд Газпром нефти исходя из отчетности — 27 руб** на акцию при выплате 75% чистой прибыли

Доходность 4%",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68279,2025-02-14 15:25:15+00:00,"#GAZP #SIBN
""ГАЗПРОМ НЕФТЬ"": РУКОВОДСТВО КОМПАНИИ В НАСТОЯЩЕЕ ВРЕМЯ ОЦЕНИВАЕТ ВЛИЯНИЕ ВЕДЕННЫХ В ЯНВАРЕ САНКЦИЙ НА ДЕЯТЕЛЬНОСТЬ ГРУППЫ


[GAZP](https://www.tinkoff.ru/invest/stocks/GAZP?utm_source=security_share) 165.19₽
[SIBN](https://www.tinkoff.ru/invest/stocks/SIBN?utm_source=security_share) 613.8₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68278,2025-02-14 15:24:19+00:00,"#SIBN #Отчетность
**🖨 Газпром нефть: МСФО 2024**

Выручка 3.82 трлн руб (+15% г/г)
Чистая прибыль 522 млрд руб (-24% г/г)",['SIBN'],['SIBN'],[],True,SIBN,Газпром нефть,нефть,company_specific
68277,2025-02-14 15:21:58+00:00,"⬇️ **#SIBN**** 31.9M₽ -0.88%**

🔷 **Аномальный объем **
[**Газпром нефть**](https://www.tinkoff.ru/invest/stocks/SIBN?utm_source=security_share)

Объём: 31.9M₽ (51824 лотов)
Покупка: 6% Продажа: 94%
Цена: 616.25₽

Изменение цены:
    на объеме: -0.88%
    за сегодня: -2.79%

Время: 2025-02-14 18:21:16
**Замечено Шпионом РЦБ.**
**Подключить: ****@StockSpy_bot**",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68275,2025-02-14 15:21:27+00:00,"#SIBN [Газпром нефть](https://www.tinkoff.ru/invest/stocks/SIBN?utm_source=security_share)
🖨 **Годовая консолидированная финансовая отчетность по МСФО или иным международно признанным стандартам**

Отчетный год: 2024
Отчетный период: 4

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/fileload.ashx?fileid=1865899)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
68224,2025-02-13 16:01:13+00:00,"#SIBN
КОНСЕНСУС: Чистая прибыль Газпром нефти во II полугодии - 158 млрд рублей (-52% г/г), прогноз по финальным дивидендам - 31,8 руб./АО (5% за полугодие)",['SIBN'],['SIBN'],[],False,SIBN,Газпром нефть,нефть,company_specific
